audio_codec,audio_start_basis,audio_start_offset_from_video_s,audio_start_s,container_start_s,existing_wav_bytes,existing_wav_pcm_sha256,extraction_parameters,fresh_extraction_duration_s,fresh_extraction_pcm_sha256,fresh_vs_source_audio_duration_diff_s,full_video_audio_decode,sample_id,source_audio_channels,source_audio_duration_s,source_audio_rate_hz,source_video_audio_duration_gap_s,status,time_axis_rule,video_codec,video_duration_s,video_frame_rate,video_height,video_path,video_size_bytes,video_start_s,video_width,wav_channels,wav_duration_s,wav_matches_fresh_pcm,wav_path,wav_sample_rate_hz,wav_sample_width_bytes,wav_zero_maps_to_source_time_s,issues
aac,源音轨 start_time,0.0,0.0,0.0,172846,12bc071dcddab2352aba89417278f62dd90fe0e7f06fdcedd25e2a795935b6c7,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,5.399,12bc071dcddab2352aba89417278f62dd90fe0e7f06fdcedd25e2a795935b6c7,2.000000000279556e-06,通过,-3g5yACwYnA$_$13,2,5.399002,44100,0.11499499999999951,通过,wav_time + audio_start_s = source_media_time_s,h264,5.513997,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-3g5yACwYnA\13.mp4,1052449,0.0,1280,1,5.399,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-3g5yACwYnA$_$13.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,458570,5474b7d300b6670e604f3707821f315e23d861da629067113612c5356de9e745,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,14.327875,5474b7d300b6670e604f3707821f315e23d861da629067113612c5356de9e745,0.0001299999999986312,通过,-3g5yACwYnA$_$3,2,14.328005,44100,0.0609920000000006,通过,wav_time + audio_start_s = source_media_time_s,h264,14.388997,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-3g5yACwYnA\3.mp4,2322206,0.0,1280,1,14.327875,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-3g5yACwYnA$_$3.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,295470,83d5699a09868de2f5ee208c5ba75a88cf5a2b65211e982ddca32091c1e3aec3,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,9.231,83d5699a09868de2f5ee208c5ba75a88cf5a2b65211e982ddca32091c1e3aec3,2.000000000279556e-06,通过,-3g5yACwYnA$_$2,2,9.230998,44100,0.16301200000000016,通过,wav_time + audio_start_s = source_media_time_s,h264,9.39401,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-3g5yACwYnA\2.mp4,1752558,0.0,1280,1,9.231,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-3g5yACwYnA$_$2.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,278350,a8b1d97172323e963fe602acca77e6517fe668d35903ac6091f1a090b1f8242c,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,8.696,a8b1d97172323e963fe602acca77e6517fe668d35903ac6091f1a090b1f8242c,9.000000000369823e-06,通过,-3g5yACwYnA$_$9,2,8.696009,44100,0.12098300000000073,通过,wav_time + audio_start_s = source_media_time_s,h264,8.816992,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-3g5yACwYnA\9.mp4,1938491,0.0,1280,1,8.696,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-3g5yACwYnA$_$9.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,249294,66f4693f7f86b0a6bd113a960324f0138fecea6a530e872fe9d812a35b8884d9,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,7.788,66f4693f7f86b0a6bd113a960324f0138fecea6a530e872fe9d812a35b8884d9,4.999999999810711e-06,通过,-3nNcZdcdvU$_$5,1,7.788005,44100,0.07996400000000037,通过,wav_time + audio_start_s = source_media_time_s,h264,7.867969,30/1,240,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-3nNcZdcdvU\5.mp4,336985,0.0,320,1,7.788,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-3nNcZdcdvU$_$5.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,125384,67340201d5047c86cf4a33737c44857516da4f7d1263939f3727ed99413c8006,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,3.9158125,67340201d5047c86cf4a33737c44857516da4f7d1263939f3727ed99413c8006,0.00019649999999993284,通过,-HwX2H8Z4hY$_$2,2,3.916009,44100,0.06602200000000025,通过,wav_time + audio_start_s = source_media_time_s,h264,3.982031,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-HwX2H8Z4hY\2.mp4,958873,0.0,1280,1,3.9158125,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-HwX2H8Z4hY$_$2.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,177486,05e81886c54820b6a89d92508e7cf951e9ffd345b0951bacf7e90c9a7abe5aba,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,5.544,05e81886c54820b6a89d92508e7cf951e9ffd345b0951bacf7e90c9a7abe5aba,8.999999999481645e-06,通过,-HwX2H8Z4hY$_$5,2,5.543991,44100,0.10900399999999966,通过,wav_time + audio_start_s = source_media_time_s,h264,5.652995,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-HwX2H8Z4hY\5.mp4,1617346,0.0,1280,1,5.544,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-HwX2H8Z4hY$_$5.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,104270,8caf9dd4e39d5d9bab9d5216648c3f7010f7c7f16849b922786af42a566c3b0e,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,3.256,8caf9dd4e39d5d9bab9d5216648c3f7010f7c7f16849b922786af42a566c3b0e,9.000000000369823e-06,通过,-HwX2H8Z4hY$_$6,2,3.256009,44100,0.10199899999999973,通过,wav_time + audio_start_s = source_media_time_s,h264,3.358008,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-HwX2H8Z4hY\6.mp4,978678,0.0,1280,1,3.256,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-HwX2H8Z4hY$_$6.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,244440,d94055cf19b4752e390adafc88a1ff413cd30bbe49d5153422f1cb78d82839b4,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,7.6363125,d94055cf19b4752e390adafc88a1ff413cd30bbe49d5153422f1cb78d82839b4,0.0006944999999998203,通过,-HwX2H8Z4hY$_$9,2,7.637007,44100,0.09697700000000076,通过,wav_time + audio_start_s = source_media_time_s,h264,7.733984,30/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-HwX2H8Z4hY\9.mp4,981914,0.0,1280,1,7.6363125,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-HwX2H8Z4hY$_$9.wav,16000,2,0.0,[]
aac,源音轨 start_time,0.0,0.0,0.0,181162,1e84d5a27c44af63a3a7c2d2bb548376606c55d140276d032d0359df8810a56e,完整音轨；无 -ss、-t、atrim 或补齐；单声道、16 kHz、PCM16,5.658875,1e84d5a27c44af63a3a7c2d2bb548376606c55d140276d032d0359df8810a56e,0.00012699999999998823,通过,-NFrJFQijFE$_$1,2,5.659002,44100,0.08699800000000035,通过,wav_time + audio_start_s = source_media_time_s,h264,5.746,25/1,720,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\原始视频\-NFrJFQijFE\1.mp4,1024510,0.0,1280,1,5.658875,True,C:\Users\Administrator\Desktop\23华为杯\E.1\输入\音频WAV\-NFrJFQijFE$_$1.wav,16000,2,0.0,[]
