sample_id,whisper_word_position,token_piece_position,whisper_token,start_time_wav_s,end_time_wav_s,start_time_source_s,end_time_source_s,duration_s,probability,automatic_flags
-3g5yACwYnA$_$13,1,1,that,0.0,0.2,0.0,0.2,0.2,0.893940806388855,
-3g5yACwYnA$_$13,2,1,we,0.2,0.38,0.2,0.38,0.18,0.9965369701385498,
-3g5yACwYnA$_$13,3,1,do,0.38,0.64,0.38,0.64,0.26,0.99764084815979,
-3g5yACwYnA$_$13,4,1,They,1.04,1.56,1.04,1.56,0.52,0.9774196147918701,
-3g5yACwYnA$_$13,5,1,have,1.56,1.62,1.56,1.62,0.06000000000000005,0.6149739027023315,
-3g5yACwYnA$_$13,6,1,been,1.62,1.68,1.62,1.68,0.05999999999999983,0.995320737361908,
-3g5yACwYnA$_$13,7,1,able,1.68,1.88,1.68,1.88,0.19999999999999996,0.999386191368103,
-3g5yACwYnA$_$13,8,1,to,1.88,2.06,1.88,2.06,0.18000000000000016,0.9981871247291565,
-3g5yACwYnA$_$13,9,1,find,2.06,2.36,2.06,2.36,0.2999999999999998,0.991510808467865,
-3g5yACwYnA$_$13,10,1,solutions,2.36,2.78,2.36,2.78,0.41999999999999993,0.9909831285476685,
-3g5yACwYnA$_$13,11,1,or,2.78,3.14,2.78,3.14,0.3600000000000003,0.8819648027420044,
-3g5yACwYnA$_$13,12,1,at,3.14,3.24,3.14,3.24,0.10000000000000009,0.990532636642456,
-3g5yACwYnA$_$13,13,1,least,3.24,3.34,3.24,3.34,0.09999999999999964,0.9952493906021118,
-3g5yACwYnA$_$13,14,1,bring,3.34,3.68,3.34,3.68,0.3400000000000003,0.9788424372673035,
-3g5yACwYnA$_$13,15,1,some,3.68,3.94,3.68,3.94,0.2599999999999998,0.9827365875244141,
-3g5yACwYnA$_$13,16,1,answers,3.94,4.24,3.94,4.24,0.30000000000000027,0.9956938028335571,
-3g5yACwYnA$_$13,17,1,to,4.24,4.46,4.24,4.46,0.21999999999999975,0.9983453750610352,
