sample_id,comparison_operation,official_token_index,official_token,whisper_token_index,whisper_token,critical_token_difference,whisper_start_time_wav_s,whisper_end_time_wav_s,whisper_start_time_source_s,whisper_end_time_source_s,whisper_time_automatic_flags,timestamp_comparison_note
-3g5yACwYnA$_$13,insertion_whisper,,,1,that,False,0.0,0.2,0.0,0.2,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,insertion_whisper,,,2,we,False,0.2,0.38,0.2,0.38,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,insertion_whisper,,,3,do,False,0.38,0.64,0.38,0.64,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,insertion_whisper,,,4,They,False,1.04,1.56,1.04,1.56,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,substitution,1,They've,5,have,False,1.56,1.62,1.56,1.62,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,2,been,6,been,False,1.62,1.68,1.62,1.68,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,3,able,7,able,False,1.68,1.88,1.68,1.88,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,4,to,8,to,False,1.88,2.06,1.88,2.06,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,5,find,9,find,False,2.06,2.36,2.06,2.36,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,6,solutions,10,solutions,False,2.36,2.78,2.36,2.78,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,7,or,11,or,False,2.78,3.14,2.78,3.14,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,8,at,12,at,False,3.14,3.24,3.14,3.24,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,9,least,13,least,False,3.24,3.34,3.24,3.34,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,10,bring,14,bring,False,3.34,3.68,3.34,3.68,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,11,some,15,some,False,3.68,3.94,3.68,3.94,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,12,answers,16,answers,False,3.94,4.24,3.94,4.24,,Whisper估计时间；原文词时间待MFA步骤
-3g5yACwYnA$_$13,match,13,to,17,to,False,4.24,4.46,4.24,4.46,,Whisper估计时间；原文词时间待MFA步骤
