sample_id,feature_row_start_0based,word_count,bert_input_token_count,valid_word_time_count,text_sha256_utf8
-3g5yACwYnA$_$13,0,15,20,14,16bee1b5ecbd8d2632c5d48e5629380ddae687005479cd6e775fcffb79b58dd8
-3g5yACwYnA$_$3,15,29,42,25,e34429bb59081603d60a09b558b648c0a68e8f0cd59532d1b1f62cb45ee5d0b7
-3g5yACwYnA$_$2,44,14,19,9,3d29e4bd12105ed426b7ec516a3eafc8f4d8363f8c284ea20b5944e014777e04
-3g5yACwYnA$_$9,58,23,30,22,edf40f3bc90720a15b5edde898ad73ac8914812e2e3d6da541110446b6376f81
-3nNcZdcdvU$_$5,81,18,24,17,79c1af6a9ee4395006d8253e8a2c10d2fa1dff409dcb41389b13cd8388f6d6f5
-HwX2H8Z4hY$_$2,99,7,14,4,aa56e2f7a4375e13c2521a154e4e8fe0f57919648d0ea30ce484d2ec50919afe
-HwX2H8Z4hY$_$5,106,9,12,8,83091121026f171a499d0396e42fa053b001e4a7958afad789966ad5dae8b5f4
-HwX2H8Z4hY$_$6,115,7,11,5,618c798532ff33e67232ba004904c108503dd42149fdb373f27d3b768ae275b3
-HwX2H8Z4hY$_$9,122,22,26,17,3b10844995a12418048ea027d2511506787eb76a854b8fc0a40394c812dc47a6
-NFrJFQijFE$_$1,144,16,18,0,75e12c6de3cb640beb5aac76a35cf09208da4865e50a409f075998199f2b904b
-NFrJFQijFE$_$2,160,18,20,0,e3fa55c11a999a6030adcdfc65b49fa787b504a4b2e3b643e9819463b6436fb9
-THoVjtIkeU$_$12,178,39,44,35,f66e02fa0f0d11a8a87d7ae6eb144d2983f235e0767c6e8e717ad6081831c0d9
-THoVjtIkeU$_$2,217,10,13,10,1094289c482666b9c7624027542558ecac07bc45a9c2977d3bb964c8431b64d7
-THoVjtIkeU$_$6,227,30,34,25,ff0a44df1b28408b6c2cc3ac9c9ca75ba39a594ed59ec2244b25efa93ca7290f
-UuX1xuaiiE$_$1,257,27,35,24,36409a672db653d61653e4d4502ae82ccf959f80d172199022b6fa0ee66a6477
-UuX1xuaiiE$_$0,284,9,14,9,8e5864e1c240de55cb429cbd6230768d64e623a24c60872473907ba801977530
-UuX1xuaiiE$_$3,293,9,11,7,da42f76b0ced73cc78ae3f0b290e2ee611d19e3556bb76d62c3c6230d4cc4b2d
-UuX1xuaiiE$_$6,302,22,25,20,e2c054ac967686a1759bc7948266e76b60f24856b1b576db92ae86e8e7280c59
-a55Q6RWvTA$_$3,324,65,84,64,5fb87ab22ab30d653f463a042dfff4de8e1c86ce158ec88a819411df55941943
-aNfi7CP8vM$_$7,389,18,25,18,357d31bd7a85ead03ed7bf23ff3965388e78d86c59f3558e607c4a58dd982e22
-aqamKhZ1Ec$_$0,407,14,18,12,ed2e5d24b8326f2cbd41f06d9e1606746a1f9c302ad47e65723605f6fa9fed1e
-dxfTGcXJoc$_$1,421,36,44,35,7264a3b8886102eedba485807edbb00abad90e60f85c1bc21cf23395b498ebfa
-dxfTGcXJoc$_$0,457,42,62,0,ea04aec85b49688311b4655200ca5363047258d662d7b7aa1155b3dc0e767090
-dxfTGcXJoc$_$2,499,35,42,33,c699d0a24ff210a5e70956097ac4961a7553b2d75e062c316e536e3eadb0613c
-dxfTGcXJoc$_$6,534,28,34,27,a835a8ff3f92a75b95e7c95daf1308a6b60b7e938cae5e893630c64c5291e076
-egA8-b7-3M$_$26,562,15,21,14,57dfcca31da6ebc3890da73654c8b44346d78eae2f1ee8bc8ad41f39b2b8fc10
-egA8-b7-3M$_$17,577,16,21,15,979b2fe6ff1090964be7311d2794106640028a26397f696f3410b16d440cf6e0
-egA8-b7-3M$_$18,593,22,29,20,f9ca5d6cd8092dfb86bf9c24e1bf22bb2020a88c30e5d6895f15d8334badfeb3
-egA8-b7-3M$_$16,615,11,15,11,6b3a71aaf936c46a861b702c61b5ba0c2984cc60da992f39a725919994fc5b2a
-egA8-b7-3M$_$13,626,11,18,10,31e06bfd066f5eabfce83f6afbb3fe97c0c1f20c4dc5f88fd29ab92b7e2dced2
-egA8-b7-3M$_$1,637,20,24,18,51a43241a4907afa84e3ba3f9fc188eb045a2d63c24a6fe67b7f4a9a60b59dd5
-egA8-b7-3M$_$6,657,12,15,12,b98c6975a7f19c8f12491fc3bb3d8d605950b41615c28e4631c3363aefbe8de6
-egA8-b7-3M$_$9,669,10,14,10,8200dcc9204cbda2b4c2f4dc70ed0f502f5160841a03fe67d16870219cf30d90
-egA8-b7-3M$_$20,679,20,26,19,2997ee5650dda6f858bcc4f971f157b26b57bca319f3db435c46b6bc9dfc01d3
-iRBcNs9oI8$_$3,699,8,11,1,74ff88671014acdb3aa95ed965c04e597c2894bc5e2510e834841372ec31d977
-iRBcNs9oI8$_$7,707,9,17,0,f2ccb178171be521c123b772104e205402a7397a3add0912e887c1df79b2da01
-iRBcNs9oI8$_$6,716,5,7,0,8b90c98e534344214d67a63ba80f4382929724c610d096f5740da1b2b8bfb1f5
-iRBcNs9oI8$_$9,721,5,7,0,77cfcd2dd3fe84ebeb9790e9e6d4c6cabd5e5ba4fdabfd581963eebbd450fba7
-iRBcNs9oI8$_$8,726,21,28,1,8bf39f02221f36bddb8b51da6b6156a29d9cb435c1b1294db873b5956fc6e0a1
-lzEya4AM_4$_$5,747,19,23,17,35fcdf82141bdf73ce0241597e565d4fd002ccc799d6dd0ad3d1ef73c7752968
-lzEya4AM_4$_$6,766,43,50,39,fabeff19e5d6ebada7f1781ee2216e38f9de68a5663ff81db310a970026924ef
-mJ2ud6oKI8$_$1,809,13,15,0,26b67ad884639a25bddf06e9d77bcea529051bb8110a660e2f2742558c093b4d
-mJ2ud6oKI8$_$2,822,11,19,0,672f0f80a7c9d3bdfe1dc1ab5a611f4dd39f48cbf8cc92518fc2d9a63106f872
-mJ2ud6oKI8$_$6,833,5,7,1,f405d94b07de80ee5c8ec3140ca886ef28f35821d5e3484172a0e3dd8a510f80
-mJ2ud6oKI8$_$9,838,22,31,2,765d339019d906539f8b80ef2a5d82081fafe052d9e525595c6bedb30d822753
-mJ2ud6oKI8$_$8,860,11,13,1,2e12bc73d35a01c69f16156d6cb6f845532fd8e0876dc09ff94424e559b52515
-mqbVkbCndg$_$0,871,14,19,14,d2ec71d71a32912fa5fbf0916e1ce4f1673086a766e20ca968e1233418e0ec5f
-t217m2on-s$_$2,885,12,18,10,09793b16c6e1b6b44ada9e79a3636bf42ba37ffe83e6a98739e10c49dfb52fb0
-t217m2on-s$_$7,897,45,55,40,5b422b896fda787c86ddf5d5df10dd0f8f704ac91bf5848f0abc5d1895bac110
-tANM6ETl_M$_$3,942,22,31,20,d0f8beb9e36254b4a7b32872ec3956aa92d44589400f7a4f15af8da5549a015c
-tPCytz4rww$_$11,964,17,22,11,08095db71ec8c8631236facd96a7cac07ab7ed0ff853867cebefb7e96358253a
-tPCytz4rww$_$10,981,12,17,10,c54b57e82c1769ce9a038b3d3ad3a81964c222e375792134fe3ea321c0db43b1
-tPCytz4rww$_$12,993,26,30,17,935dc7e6e8455bd1acb4066d756b9a009ef0b12339458c64be18674d50b101cf
-tPCytz4rww$_$16,1019,16,19,13,06d8880f7151da8278664f4dcafe60368bba0a01955b6b9a8c9f5a688372e695
-tPCytz4rww$_$18,1035,16,24,0,0213c1bbbdbbb60fb70172c4e6d51aeb74a7205151d2d798b7c96667d414c722
-vxjVxOeScU$_$4,1051,21,29,21,663559f09b501b1f8f041ae288e9e3ccc4fda3bace7c391d86afcff32386cc08
-wMB_hJL-3o$_$7,1072,22,25,22,092fd4485c2e7d5d4e7bdadaec522461a3f5fa45af4a148441d44ae495c3f238
-wny0OAz3g8$_$1,1094,22,30,22,4811dd2512e12a41704b25c37961cd00ee1857e5083a2f5c69d999b68ae96b13
-wny0OAz3g8$_$0,1116,9,13,1,fc637fb7e309729db1c10e9b2ec896a95f87238560df6594154a54550c85e49e
-wny0OAz3g8$_$3,1125,20,22,20,55e3d9778d6c54ba0e345c732f64ab71f89a40e8b4ba4cc95c00fd1ef14d20b4
-wny0OAz3g8$_$2,1145,23,30,23,15562d374fc676ee0cb47bfe1b8bc536a34dd1fe30681b6507be3cdff47a08d3
