sample_id,wav_duration_s,wav_sample_count,wav_sha256,audio_start_offset_s,frame_count,feature_dimensions,frame_hop_s,last_frame_center_wav_s,f0_voiced_frame_count,f0_voiced_frame_fraction,nonzero_voicing_probability_frame_count,sample_rms,feature_file,feature_file_sha256,status
-3g5yACwYnA$_$13,5.399,86384,45b7a99658bcaaf78e898e7fd8df6f8e59cbd355af3d1effb627e87fa527da8d,0.0,540,74,0.01,5.39,309,0.5722222222222222,538,0.00821887367063889,结果/06_Librosa74/逐样本/-3g5yACwYnA$_$13.npz,1725f642ffce5976a4f4b3bba29fb3a0fbfc11d706f29ee879574e370119c405,passed
-3g5yACwYnA$_$3,14.327875,229246,01d778bbe9b72bc396a0f5e0084f69129af802c1f5387a725867d2639bdf7831,0.0,1433,74,0.01,14.32,866,0.6043265875785067,1427,0.009526931039952231,结果/06_Librosa74/逐样本/-3g5yACwYnA$_$3.npz,d87e3c12dcc43fe842c83f6a04289d4fa0d2f773d24412fd34936f81b6d9c46f,passed
-3g5yACwYnA$_$2,9.231,147696,7f8a14e3912b5e5c95bfb0e85c69731e680a9e9f4a4b35260f7bd7bb531b39dd,0.0,924,74,0.01,9.23,629,0.6807359307359307,924,0.01246018710759889,结果/06_Librosa74/逐样本/-3g5yACwYnA$_$2.npz,20a592b65549c57d57ced2b86600aa38f5a6a46de8408fd932b28b1d39afb70f,passed
-3g5yACwYnA$_$9,8.696,139136,8ce26ae8910e28c50a976593c6444a629d86585d6b9ddada9b8f53ee4e303a8d,0.0,870,74,0.01,8.69,582,0.6689655172413793,869,0.010903858422972423,结果/06_Librosa74/逐样本/-3g5yACwYnA$_$9.npz,e5eab58823c6ad34ea30a6ef467169c92d57c6741ed1b84895f947c30ec2b83f,passed
-3nNcZdcdvU$_$5,7.788,124608,190541aa1e792db8d2606f66f94a3f3141c4dadfef2d8cbe3da6939806244319,0.0,779,74,0.01,7.78,662,0.8498074454428755,779,0.038190190684918045,结果/06_Librosa74/逐样本/-3nNcZdcdvU$_$5.npz,62a7fdc1a04a907a336fb78cb8248aa2fd75c87d179e01593bbaa376aec01f83,passed
-HwX2H8Z4hY$_$2,3.9158125,62653,9bb6f76b1659a4cd5e0d44635e7256012a421a76401f81071761f20ff8b9584c,0.0,392,74,0.01,3.91,303,0.7729591836734694,392,0.04817327889304103,结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$2.npz,db7164ad96f9560161393d13658fab1a051a58e6051668ce8adf93926998b7d2,passed
-HwX2H8Z4hY$_$5,5.544,88704,3707bda1abd6ffdd9292771bf312a8d19b4826f4387572101a2b99759c979b83,0.0,555,74,0.01,5.54,472,0.8504504504504504,555,0.09055626160260326,结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$5.npz,d25c7409bb20e64b4323d029f3e971902b2a83edd7852469bb014409f61c7983,passed
-HwX2H8Z4hY$_$6,3.256,52096,726d4e0889af8c6604af970fe16fed695b92204e082bce0bd32e9ff78709b99e,0.0,326,74,0.01,3.25,261,0.8006134969325154,326,0.07522757065739089,结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$6.npz,92ef95cea1bf15dfa3da8057e785699c5581c5b7766a3e1a043d84af6155d7ea,passed
-HwX2H8Z4hY$_$9,7.6363125,122181,9ac42bc216fe8232568d52e3559cbdf602e188daa8491095888f989e41737506,0.0,764,74,0.01,7.63,544,0.7120418848167539,764,0.035469057268923826,结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$9.npz,dfe46daf26e96acb9437bf9693e02fb328bc22623201b2c3cd9701ac347b5ee5,passed
-NFrJFQijFE$_$1,5.658875,90542,58c0521ef97ee1dbd0b8c4c7f7469b9a1d6d7bc1328e751e82cf142916072fb8,0.0,566,74,0.01,5.65,361,0.6378091872791519,566,0.025109486601453332,结果/06_Librosa74/逐样本/-NFrJFQijFE$_$1.npz,042af112d70b8f637ca2ca28d096b898fc5c991586a3724040b9a5a4adc34cfc,passed
