数据集,解释源,样本数,忠实性_符号均值,忠实性_绝对均值,充分性偏差_绝对均值,稀疏性,预测标准差
att4,att,20,-0.0039,0.0143,0.2596,0.358,1.0627
att4,fused,20,-0.0026,0.0146,0.2251,0.4392,1.0627
att4,fused_equal,20,0.0051,0.0124,0.2434,0.3778,1.0627
att4,ig,20,0.0044,0.0171,0.2076,0.393,1.0627
att4,occ,20,-0.0044,0.0163,0.2213,0.4637,1.0627
valid,att,200,0.0003,0.0234,0.2332,0.4551,0.875
valid,fused,200,0.0013,0.024,0.1951,0.531,0.875
valid,fused_equal,200,0.0009,0.0232,0.2066,0.4645,0.875
valid,ig,200,0.0041,0.0244,0.1972,0.4779,0.875
valid,occ,200,0.0014,0.0246,0.1938,0.5611,0.875
