实验,关闭的模块,种子数,valid_MAE,valid_ACC,valid_MacroF1,d_MAE,d_MacroF1,z_MAE,z_MacroF1,判定,test_MAE,test_MacroF1
基准配方（不翻转任何开关）,,2,0.587111,0.597527,0.585679,0,0,0,0,参照,0.643324,0.599647
基准配方（种子 43）,,1,0.596650,0.579670,0.576494,,,,,参照,0.645391,0.602256
基准配方种子极差,,2,0.009539,0.017857,0.009185,,,,,种子波动,,
去除掩码指示,不再把「哪段缺失」喂给模型,3,0.586580,0.601648,0.591271,-0.000531,+0.005591,-0.06,+0.61,不显著,0.643105,0.599144
去除跨模态重建,去掉跳模态重建损失,1,0.582455,0.596154,0.586814,-0.004656,+0.001135,-0.49,+0.12,不显著,0.637657,0.597616
单专家,去掉动态专家门控,1,0.594158,0.574176,0.573292,+0.007047,-0.012387,+0.74,-1.35,不显著,0.647530,0.604111
去除教师蒸馏,关闭教师到学生的蒸馏,1,0.591302,0.589286,0.578683,+0.004191,-0.006996,+0.44,-0.76,不显著,0.648730,0.596320
去除缺失课程学习,固定缺失率区间，不做由易到难,1,0.588454,0.601648,0.589780,+0.001343,+0.004100,+0.14,+0.45,不显著,0.639085,0.598011
朴素融合（干净训练、无缺失指示）,朴素融合基线（模型种类不同，不做差）,1,0.600974,0.600275,0.593228,,,,,并列参照,0.653834,0.592938
朴素融合 + 掩码指示 + 缺失注入,朴素融合基线（模型种类不同，不做差）,1,0.599019,0.579670,0.578216,,,,,并列参照,0.658542,0.594957
