split,dim,group,n,mae,pearson,acc,f1,acc_head,f1_head,f1_head_neu,bias,miss_text,miss_audio,miss_vision
valid,strength_bucket,|y|<=0.5,331,0.4020534537569408,0.2409959206129328,0.4743202416918429,0.429873768335991,0.5045317220543807,0.4529343793206344,0.5714285714285714,0.0568029284477233,0.0,0.0028978360351175,0.0214124955236911
valid,strength_bucket,0.5<|y|<=1.5,267,0.5753066855646698,0.6466305827148149,0.6666666666666666,0.4827538631346579,0.6591760299625468,0.4949263414699534,0.0,-0.0554196015000343,0.0,0.0,0.0311155319213867
valid,strength_bucket,|y|>1.5,130,1.0797657929289226,0.793955643452987,0.8153846153846154,0.5865014549892049,0.8461538461538461,0.5863376389692179,0.0,-0.1780007928609848,0.0,0.0,0.0272986181080341
valid,text_len_bucket,短,243,0.4966408948724468,0.6632609305525167,0.6131687242798354,0.6051264617302353,0.6172839506172839,0.6164355481448055,0.5621621621621622,-0.0054421531967818,0.0,0.0,0.0190466195344924
valid,text_len_bucket,中,242,0.6062350159256973,0.6049835820443741,0.5619834710743802,0.5375943936482053,0.5826446280991735,0.5706655062485425,0.3857142857142857,-0.0508379191160202,0.0,0.0,0.0304894242435693
valid,text_len_bucket,长,243,0.6570515226833369,0.6864441582004426,0.6419753086419753,0.6020394892735318,0.6666666666666666,0.6389176860874973,0.3888888888888889,-0.0226754918694496,0.0,0.0039472579956054,0.0285491086542606
valid,vision_len_bucket,短,243,0.4921354606111415,0.6626274182574237,0.6213991769547325,0.6135643670205883,0.6213991769547325,0.6189407969136621,0.5698924731182796,-0.0133363846689462,0.0,0.0039472579956054,0.0255312193185091
valid,vision_len_bucket,中,242,0.5988826734968269,0.6135473780567692,0.5661157024793388,0.5398361931586555,0.5867768595041323,0.575997150997151,0.4,-0.0333161167800426,0.0,0.0,0.0350024849176406
valid,vision_len_bucket,长,243,0.6688790428203074,0.6784345937974091,0.6296296296296297,0.5875813590927996,0.6584362139917695,0.6271729443441295,0.3551401869158878,-0.0322309769690036,0.0,0.0,0.0175700224936008
valid,polarity,Negative,206,0.7481122867981858,0.4494219830736499,0.5436893203883495,0.2348008385744234,0.6407766990291263,0.2603550295857988,0.0,0.5414835214614868,0.0,0.0,0.0180066563189029
valid,polarity,Neutral,184,0.3833228048271216,,0.5434782608695652,0.2347417840375586,0.6086956521739131,0.2522522522522523,0.704225352112676,0.1100703552365303,0.0,0.005212954711169,0.0202026236802339
valid,polarity,Positive,338,0.5988568170161466,0.3748566366434422,0.6775147928994083,0.2692533803644915,0.6183431952662722,0.2547227300426569,0.0,-0.4465501010417938,0.0,0.0,0.0340755879878997
valid,any_missing,含缺失,48,0.5179522020431856,0.6369997047588523,0.5625,0.5158313908313908,0.5208333333333334,0.5148683280311064,0.3846153846153846,-0.0743929669260978,0.0,0.0199829936027526,0.3946708738803863
valid,any_missing,无缺失,680,0.5914623906205901,0.6557130043649871,0.6088235294117647,0.5941998139490302,0.6294117647058823,0.6227317023944258,0.4668304668304668,-0.0228889808058738,0.0,0.0,0.0
test,strength_bucket,|y|<=0.5,288,0.4163574991980567,0.3173991128549767,0.46875,0.4386574074074074,0.5243055555555556,0.4937837146197852,0.5138888888888888,0.1084369495511055,0.0,0.0,0.0213904157280921
test,strength_bucket,0.5<|y|<=1.5,275,0.5596306351335211,0.6416293460329865,0.68,0.4968434343434343,0.6690909090909091,0.4967163685927884,0.0,-0.1137027963995933,0.0,0.0,0.0173337794840335
test,strength_bucket,|y|>1.5,164,1.086124977051485,0.7924208631967776,0.8292682926829268,0.5864031398934678,0.8536585365853658,0.5916159567275185,0.0,-0.1004719138145446,0.0,0.0,0.0288636330515146
test,text_len_bucket,短,243,0.6140264757514122,0.6719005953425019,0.5679012345679012,0.5572216051668106,0.5967078189300411,0.5946362003223676,0.3698630136986301,-0.1055008620023727,0.0,0.0,0.0170711074024438
test,text_len_bucket,中,242,0.6010374645240728,0.7053649269529385,0.6818181818181818,0.653829804243285,0.6776859504132231,0.6585516313853551,0.4424778761061947,-0.0166395287960767,0.0,0.0,0.0225910749286413
test,text_len_bucket,长,242,0.6498941348957991,0.6674579111689412,0.640495867768595,0.5956093189964157,0.6859504132231405,0.6450365371280666,0.3666666666666666,0.054329115897417,0.0,0.0,0.0249815937131643
test,vision_len_bucket,短,243,0.5956882813201888,0.6781654647522837,0.588477366255144,0.5802092668413912,0.6090534979423868,0.6092666398874894,0.4133333333333333,-0.11694947630167,0.0,0.0,0.0175379607826471
test,vision_len_bucket,中,242,0.6399346372643716,0.6782611804793441,0.6611570247933884,0.6255835667600373,0.6652892561983471,0.6392626927166402,0.4,-0.0184064544737339,0.0,0.0,0.0257586538791656
test,vision_len_bucket,长,242,0.6294109342496627,0.6930265492279278,0.640495867768595,0.5953385771387928,0.6859504132231405,0.6436809894437013,0.3529411764705882,0.0675919651985168,0.0,0.0,0.021345229819417
test,polarity,Negative,207,0.8016685047389372,0.4710091712697619,0.6328502415458938,0.2583826429980276,0.7198067632850241,0.2790262172284644,0.0,0.5889268517494202,0.0,0.0,0.018679916858673
test,polarity,Neutral,158,0.419052160663318,,0.4683544303797468,0.2126436781609195,0.5569620253164557,0.2384823848238482,0.6379310344827587,0.1464957743883133,0.0,0.0,0.0185729134827852
test,polarity,Positive,362,0.6071222618824251,0.2388255498409986,0.6988950276243094,0.2742547425474255,0.6574585635359116,0.2644444444444444,0.0,-0.4463259875774383,0.0,0.0,0.02447403781116
test,any_missing,含缺失,40,0.7499141307082027,0.6133383333856636,0.6,0.5436105476673428,0.65,0.6047385620915033,0.2352941176470588,-0.1806790381669998,0.0,0.0,0.3915216326713562
test,any_missing,无缺失,687,0.614173676039118,0.6864205658688729,0.6317321688500728,0.6038463554344742,0.653566229985444,0.6348821657112652,0.3977900552486187,-0.0135206282138824,0.0,0.0,0.0
