来源,方法,训练样本数,模态,缺失设定,Acc-2,Acc-3,F1-3,MAE,Corr,口径备注
公开基线（MMSA 统一复现，MOSEI）,EF-LSTM,16326,文本+语音+视觉,全模态,77.84,66.09,63.68,0.6005,0.6825,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,LF-DNN,16326,文本+语音+视觉,全模态,80.60,67.35,64.65,0.5802,0.7087,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,TFN,16326,文本+语音+视觉,全模态,78.50,66.63,63.93,0.5726,0.7141,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,LMF,16326,文本+语音+视觉,全模态,80.54,66.59,64.86,0.5757,0.7169,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,MFN,16326,文本+语音+视觉,全模态,78.94,66.59,64.31,0.5733,0.7182,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,Graph-MFN,16326,文本+语音+视觉,全模态,81.28,66.39,64.00,0.5745,0.7133,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,MulT,16326,文本+语音+视觉,全模态,81.15,67.04,65.01,0.5593,0.7331,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,MISA,16326,文本+语音+视觉,全模态,80.67,67.63,65.39,0.5575,0.7515,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,Self-MM,16326,文本+语音+视觉,全模态,83.76,,,0.5309,0.7649,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,TETFN,16326,文本+语音+视觉,全模态,84.12,,,0.5373,0.7696,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
公开基线（MMSA 统一复现，MOSEI）,CENet,16326,文本+语音+视觉,全模态,83.52,,,0.5259,0.7775,Acc-2 为 Has0 口径（负 vs 非负）；Acc-3/F1-3 为该表分类设定下的值
本文（赛题附件二）,本文 MRF-Net 集成（验证集）,3395,文本+语音+视觉,全模态（内部含缺失注入训练）,,62.23,61.58,0.5866,0.6543,Acc-2 由分类头概率构造（p_neg vs p_neu+p_pos）；Acc-3 为分类头主口径
本文（赛题附件二）,本文 MRF-Net 集成（测试划分）,3395,文本+语音+视觉,全模态（内部含缺失注入训练）,85.14,65.34,63.38,0.6216,0.6807,Acc-2 由分类头概率构造（p_neg vs p_neu+p_pos）；Acc-3 为分类头主口径
本文（赛题附件二）,多数类平凡基线,0,—,—,71.53,—,—,—,—,不做任何建模的下界参照（负 vs 非负）
