rho,modality,mean_effective_len,abs_missing_frames,abs_missing_frames_int,abs_frames_per_sample_mean
0.10,text,50.0000,5.0000,5,5.0000
0.10,audio,24.5879,2.4588,2,2.4725
0.10,vision,23.8187,2.3819,2,2.3970
0.20,text,50.0000,10.0000,10,10.0000
0.20,audio,24.5879,4.9176,5,4.9451
0.20,vision,23.8187,4.7637,5,4.7857
0.30,text,50.0000,15.0000,15,15.0000
0.30,audio,24.5879,7.3764,7,7.3819
0.30,vision,23.8187,7.1456,7,7.1470
0.50,text,50.0000,25.0000,25,25.0000
0.50,audio,24.5879,12.2940,12,12.2555
0.50,vision,23.8187,11.9093,12,11.8668
1.00,text,50.0000,50.0000,50,50.0000
1.00,audio,24.5879,24.5879,25,24.5879
1.00,vision,23.8187,23.8187,24,23.8187
