model,name,metric,term,df,F,p,eta2,partial_eta2
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,Intercept,1.0,363.1451678950371,3.557150483006419e-23,0.0271521716095842,0.8897451114462963
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,C(missing_type),5.0,25.045735937551303,5.607515676148496e-12,0.0093632819652619,0.7356497149449691
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,C(position),3.0,0.8724560401027137,0.4624275616762084,0.000195699226235,0.0549666691719543
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,C(rho),3.0,1.8876963675740104,0.1452290346714477,0.0004234261687929,0.1117793881703467
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,C(missing_type):C(position),15.0,4.730589159804,2.4522580479983464e-05,0.0053055546391806,0.6119312593147737
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,C(missing_type):C(rho),15.0,848.5460509902663,5.509888763588504e-50,0.9516800730960908,0.9964769961688962
ablate_a0_plain,A0 朴素融合（无缺失处理）,dMAE,C(position):C(rho),9.0,3.7376621654588993,0.001428147413492,0.0025151671605904,0.4277645547151454
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,Intercept,1.0,3.505818170602692,0.0676601845234026,0.006379701015519,0.0722762403114647
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,C(missing_type),5.0,1.3252612780067303,0.2707398227702187,0.0120581991274152,0.1283513552174797
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,C(position),3.0,0.271931740132563,0.8453065180624949,0.001484540652926,0.0178059818993273
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,C(rho),3.0,0.5584978620618711,0.64516614032158,0.0030489739094045,0.0358966442013481
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,C(missing_type):C(position),15.0,6.347268250098334,6.403890958108111e-07,0.1732563059336986,0.6790506146040647
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,C(missing_type):C(rho),15.0,25.144210721816744,5.826502540922609e-17,0.6863414139166053,0.8934061420427587
ablate_a0_plain,A0 朴素融合（无缺失处理）,dF1,C(position):C(rho),9.0,2.1701594524957986,0.042502703772924,0.035542264345361,0.302665438178004
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,Intercept,1.0,644.4880078894828,2.6143558492229073e-28,0.0348744581810791,0.9347341803119324
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,C(missing_type),5.0,48.93210212656608,4.36185530724121e-17,0.0132390403578917,0.8446457202547661
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,C(position),3.0,2.9916534143532747,0.0407065325805124,0.0004856519777589,0.1662800714005868
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,C(rho),3.0,2.3513301496289203,0.0848942131520022,0.0003817046894713,0.1355129623695856
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,C(missing_type):C(position),15.0,4.116596108947411,0.0001127497320258,0.0033413513616803,0.5784501531247193
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,C(missing_type):C(rho),15.0,1161.354549136639,4.858178764922991e-53,0.9426461818095676,0.9974234652132168
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dMAE,C(position):C(rho),9.0,5.331704443832823,5.95956536291039e-05,0.0025965769920576,0.5160527454901608
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,Intercept,1.0,0.0197472700541391,0.8888723619925499,3.045196137486956e-05,0.0004386357376838
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,C(missing_type),5.0,1.48912952788721,0.2122969598936695,0.0114818186871086,0.1419688377313003
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,C(position),3.0,2.261496519061749,0.0941849589892399,0.010462256979177,0.1310139312987372
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,C(rho),3.0,7.969459216044093,0.000228270607804,0.0368687413845395,0.346958939741927
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,C(missing_type):C(position),15.0,5.188929706758191,8.274689994031489e-06,0.1200265301790357,0.6336517582359819
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,C(missing_type):C(rho),15.0,29.980338675980217,1.8303215652916483e-18,0.693483286193598,0.909036713374174
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,dF1,C(position):C(rho),9.0,4.197284220339689,0.0005522582660967,0.0582531068578303,0.4563612605400889
ours_s42,MRF-Net（单种子 42）,dMAE,Intercept,1.0,15.194574904898618,0.0003198758268507,0.0107862564435657,0.2524243244329663
ours_s42,MRF-Net（单种子 42）,dMAE,C(missing_type),5.0,0.190622135738365,0.9646239599959626,0.0006765899186924,0.0207409392882248
ours_s42,MRF-Net（单种子 42）,dMAE,C(position),3.0,1.6177293141776594,0.1985218649891951,0.0034451592127204,0.0973496007542661
ours_s42,MRF-Net（单种子 42）,dMAE,C(rho),3.0,1.92122984309223,0.1396920570244575,0.0040915019810017,0.1135396103538263
ours_s42,MRF-Net（单种子 42）,dMAE,C(missing_type):C(position),15.0,4.17709739274124,9.666122391758416e-05,0.0444782864441945,0.5820037215833055
ours_s42,MRF-Net（单种子 42）,dMAE,C(missing_type):C(rho),15.0,82.38345116911309,1.3423765238059848e-27,0.8772299026900174,0.9648643857922994
ours_s42,MRF-Net（单种子 42）,dMAE,C(position):C(rho),9.0,4.280548081806331,0.0004662857983794,0.027347905852267,0.4612387160838007
ours_s42,MRF-Net（单种子 42）,dF1,Intercept,1.0,46.282913991826426,1.9968466241200977e-08,0.06050897633192,0.5070271310134846
ours_s42,MRF-Net（单种子 42）,dF1,C(missing_type),5.0,7.595761675115272,3.0448409075557662e-05,0.0496524228685798,0.4576928630220591
ours_s42,MRF-Net（单种子 42）,dF1,C(position),3.0,0.6873054739062368,0.5645192561239127,0.0026956913728942,0.0438128444078225
ours_s42,MRF-Net（单种子 42）,dF1,C(rho),3.0,0.7242790040141539,0.542807141498254,0.0028407058241409,0.04606119007614
ours_s42,MRF-Net（单种子 42）,dF1,C(missing_type):C(position),15.0,6.022690791961482,1.278496412326907e-06,0.1181084410489888,0.6675049528824852
ours_s42,MRF-Net（单种子 42）,dF1,C(missing_type):C(rho),15.0,34.06558994771777,1.4155330144856724e-19,0.6680458720393134,0.9190623971119412
ours_s42,MRF-Net（单种子 42）,dF1,C(position):C(rho),9.0,3.341407709729354,0.0033068943148853,0.039316159750251,0.4005807923561825
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,Intercept,1.0,23.34952157832941,1.605290710729332e-05,0.017355741596192,0.3416193857563519
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,C(missing_type),5.0,2.186942751509165,0.0723196232958785,0.0081277925017712,0.1954906537100261
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,C(position),3.0,1.8577022586571537,0.1503668217142615,0.0041425003406287,0.1101990194246753
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,C(rho),3.0,2.3581365532456893,0.0842292861742067,0.0052584214879141,0.1358519415959287
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,C(missing_type):C(position),15.0,5.503161932666183,4.028299093228723e-06,0.0613576531824953,0.6471900660300203
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,C(missing_type):C(rho),15.0,75.47710792422723,8.778235552806329e-27,0.8415340613080632,0.9617722915720004
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dMAE,C(position):C(rho),9.0,4.301415349308268,0.0004469884361612,0.0287752482401169,0.4624474005053605
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,Intercept,1.0,62.58830764987968,4.6420232574702803e-10,0.0564246923989561,0.5817389362936938
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,C(missing_type),5.0,4.158388060363146,0.0034372472168607,0.0187443770243828,0.316025643968459
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,C(position),3.0,1.2984124648974371,0.2866162488306935,0.0035116394749946,0.0796649653881248
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,C(rho),3.0,1.495202611585688,0.2286731308496113,0.0040438710008641,0.0906446951149
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,C(missing_type):C(position),15.0,9.128968186894136,3.410503454965437e-09,0.1234493888411636,0.7526582678944095
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,C(missing_type):C(rho),15.0,55.05141831779291,7.101725142371787e-24,0.7444503920966055,0.9483216760772838
ens_top2,MRF-Net（B：42+43 集成，提交模型）,dF1,C(position):C(rho),9.0,1.0854714545792312,0.3920783242112933,0.0088071807193749,0.1783709713669644
