model,name,position,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a0_plain,A0 朴素融合（无缺失处理）,head,0.011968689660231272,-0.008585164835164824,-0.0072081372111183805,0.0,0.6129422361652056,0.6129422361652056
ablate_a0_plain,A0 朴素融合（无缺失处理）,middle,0.01021277904510498,-0.020604395604395597,-0.01716923632173029,0.0,0.6111863255500793,0.6111863255500793
ablate_a0_plain,A0 朴素融合（无缺失处理）,random,0.012149562438329061,-0.011790293040293035,-0.00927916694708778,0.0,0.6131231089433035,0.6131231089433035
ablate_a0_plain,A0 朴素融合（无缺失处理）,tail,0.01276519646247228,-0.0041208791208791245,-0.004326768733778828,0.0,0.6137387429674467,0.6137387429674467
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,head,0.013271321853001913,0.0024038461538461267,0.0018480369562640514,1.751631498336792e-05,0.6122857828934988,0.6123032992084821
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,middle,0.011835793654123941,-0.00904304029304033,-0.006950252632459182,4.187226295471191e-06,0.6108502546946207,0.6108544419209162
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,random,0.013657244543234507,-0.0034913003663003955,-0.0028259252705769102,4.86522912979126e-06,0.6126717055837313,0.6126765708128611
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,tail,0.013199051221211752,0.003376831501831471,0.0022673969034734537,1.8229087193806965e-06,0.6122135122617086,0.6122153351704279
ens_top2,MRF-Net（B：42+43 集成，提交模型）,head,0.007812013228734334,-0.013907967032967039,-0.011749531317685954,0.00022348264853159586,0.594427635272344,0.5946511179208755
ens_top2,MRF-Net（B：42+43 集成，提交模型）,middle,0.003488647441069285,-0.015510531135531136,-0.014567495726029509,0.0003051360448201497,0.5901042694846789,0.590409405529499
ens_top2,MRF-Net（B：42+43 集成，提交模型）,random,0.0051503777503967285,-0.014079670329670335,-0.012637659255037422,0.00031737983226776123,0.5917659997940063,0.5920833796262741
ens_top2,MRF-Net（B：42+43 集成，提交模型）,tail,0.003889883557955424,-0.009615384615384609,-0.009913491921115134,0.00039854397376378375,0.590505505601565,0.5909040495753288
ours_s42,MRF-Net（单种子 42）,head,0.006320620576540629,-0.016540750915750912,-0.014876974350065126,7.287909587224324e-05,0.5925382028023402,0.5926110818982124
ours_s42,MRF-Net（单种子 42）,middle,0.002245356639226278,-0.018086080586080577,-0.017046591173993365,0.00017184515794118246,0.5884629388650259,0.588634784022967
ours_s42,MRF-Net（单种子 42）,random,0.003849672774473826,-0.0152815934065934,-0.014466594241415248,0.00017929822206497192,0.5900672550002733,0.5902465532223383
ours_s42,MRF-Net（单种子 42）,tail,0.003082710007826487,-0.00784111721611721,-0.007971513666783952,0.0002800673246383667,0.589300292233626,0.5895803595582644
