model,name,missing_type,position,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,head,-0.0009968161582946777,-0.004120879120879106,-0.00326978833546685,0.0,0.5999767303466796,0.5999767303466796
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,middle,-0.001990818977355957,-0.00439560439560438,-0.003880737830461145,0.0,0.5989827275276184,0.5989827275276184
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,random,-0.000833594799041748,-0.0030219780219780112,-0.0027263379030626257,0.0,0.6001399517059326,0.6001399517059326
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,tail,-0.00103759765625,-0.001098901098901095,-0.00040580122001645515,0.0,0.5999359488487244,0.5999359488487244
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,head,0.0010062336921691894,0.0038461538461538325,0.005409304130161141,0.0,0.6019797801971436,0.6019797801971436
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,middle,0.00042917728424072263,0.00219780219780219,0.0031897721415782955,0.0,0.6014027237892151,0.6014027237892151
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,random,0.0005820751190185547,0.004120879120879106,0.005558351498133574,0.0,0.6015556216239929,0.6015556216239929
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,tail,0.0013482451438903808,0.005494505494505475,0.006228144917995437,0.0,0.6023217916488648,0.6023217916488648
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,head,0.051873195171356204,-0.05769230769230769,-0.06922396355105741,0.0,0.6528467416763306,0.6528467416763306
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,middle,0.04990478754043579,-0.07857142857142858,-0.08663582089630541,0.0,0.6508783340454102,0.6508783340454102
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,random,0.05188794136047363,-0.06923076923076923,-0.07948373596621171,0.0,0.652861487865448,0.652861487865448
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,tail,0.052420735359191895,-0.05906593406593408,-0.07279557500623078,0.0,0.6533942818641663,0.6533942818641663
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,head,0.05133098363876343,-0.0725274725274725,-0.08458522783625783,0.0,0.6523045301437378,0.6523045301437378
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,middle,0.04844557046890259,-0.0901098901098901,-0.09779779789354334,0.0,0.649419116973877,0.649419116973877
