model,name,missing_type,rho,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,0.1,-0.0001796633005142212,-0.0010302197802197766,-0.0011272524132608652,0.0,0.6007938832044601,0.6007938832044601
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,0.2,-0.0004924386739730835,-0.001717032967032961,-0.0016383056182004696,0.0,0.6004811078310013,0.6004811078310013
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,0.3,-0.001102164387702942,-0.0013736263736263687,-0.0011632978661275106,0.0,0.5998713821172714,0.5998713821172714
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,0.5,-0.0022358745336532593,-0.003434065934065922,-0.0025306340890310364,0.0,0.5987376719713211,0.5987376719713211
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio,1.0,-0.0020633935928344727,-0.008241758241758212,-0.006393841624638963,0.0,0.5989101529121399,0.5989101529121399
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,0.1,-0.0004971623420715332,0.0030906593406593297,0.003165502360830158,0.0,0.6004763841629028,0.6004763841629028
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,0.2,-0.0004426240921020508,0.0030906593406593297,0.0035067403788692775,0.0,0.6005309224128723,0.6005309224128723
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,0.3,-0.0009614676237106323,0.004120879120879106,0.004842570513575756,0.0,0.6000120788812637,0.6000120788812637
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,0.5,-0.00010816752910614014,0.0024038461538461453,0.004029879844636569,0.0,0.6008653789758682,0.6008653789758682
ablate_a0_plain,A0 朴素融合（无缺失处理）,audio+vision,1.0,0.006216585636138916,0.006868131868131844,0.009937272761923799,0.0,0.6071901321411133,0.6071901321411133
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,0.1,0.005209997296333313,-0.003777472527472514,-0.004328917066373977,0.0,0.6061835438013077,0.6061835438013077
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,0.2,0.01234506070613861,-0.013392857142857123,-0.012233952205547322,0.0,0.613318607211113,0.613318607211113
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,0.3,0.02267150580883026,-0.017513736263736257,-0.013822716450260425,0.0,0.6236450523138046,0.6236450523138046
