phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,1.8087538856047172,0.729240357875824,0.7015975399149789,0.639369785785675,0.6222775401892485,1.1071563407226845,0.0,0.0,0.0,0.0,0.0,,,
teacher,2,1.6179539649574846,0.6814200282096863,0.5764312435079504,0.5294387114268763,0.4699253275240254,1.0415227192419547,0.0,0.0,0.0,0.0,0.0,,,
teacher,3,1.5023922809848078,0.6507905125617981,0.5324256116593326,0.4923221667607625,0.4010344614033346,0.9699666687735805,0.0,0.0,0.0,0.0,0.0,,,
teacher,4,1.4281357813764501,0.6348456740379333,0.4959995260945073,0.46120653715398574,0.34792988581789863,0.9321362574895223,0.0,0.0,0.0,0.0,0.0,,,
teacher,5,1.3875760237375896,0.6215867400169373,0.481112661185088,0.4488613417855016,0.3225131837858094,0.9064633603449221,0.0,0.0,0.0,0.0,0.0,,,
teacher,6,1.358658508018211,0.6146284937858582,0.45864666170544094,0.4296511210225247,0.28995537192181303,0.9000118396900318,0.0,0.0,0.0,0.0,0.0,,,
teacher,7,1.3463005578076397,0.610063374042511,0.4655517267960089,0.4357250012733318,0.2982672704383731,0.8807488238369977,0.0,0.0,0.0,0.0,0.0,,,
teacher,8,1.351694561817028,0.607166588306427,0.46571890347533756,0.43550759388340843,0.3021131021281083,0.8859756622049544,0.0,0.0,0.0,0.0,0.0,,,
teacher,9,1.3190859269212794,0.6060798764228821,0.44506897197829354,0.4181997251731378,0.26869246211868747,0.8740169472164578,0.0,0.0,0.0,0.0,0.0,,,
teacher,10,1.3200156534159626,0.6052112579345703,0.4460910244120492,0.41906081084851865,0.27030212666701386,0.8739246372823362,0.0,0.0,0.0,0.0,0.0,,,
teacher,11,1.3392646312713623,0.6040694117546082,0.45747613189397035,0.4292441937658522,0.28231939066339423,0.8817885043444457,0.0,0.0,0.0,0.0,0.0,,,
teacher,12,1.3034205083493833,0.6034713387489319,0.4348535940602974,0.40937447023612483,0.2547912429931953,0.8685669093220322,0.0,0.0,0.0,0.0,0.0,,,
teacher,13,1.291295208312847,0.6032753586769104,0.4272926279378158,0.4035224592382157,0.23770167009422072,0.8640025776845438,0.0,0.0,0.0,0.0,0.0,,,
teacher,14,1.3030091921488445,0.6028868556022644,0.4389396723773744,0.41371360586749184,0.25226067779240785,0.8640695225309443,0.0,0.0,0.0,0.0,0.0,,,
teacher,15,1.286045084948893,0.602800726890564,0.4317956118396035,0.4066163062773369,0.25179304417084764,0.8542494652447877,0.0,0.0,0.0,0.0,0.0,,,
teacher,16,1.2930353283882141,0.602783203125,0.43238377736674416,0.40820539052839633,0.24178386852145195,0.8606515493657854,0.0,0.0,0.0,0.0,0.0,,,
student,1,1.7852544961152252,0.7329002618789673,0.6811700998632996,0.6214121381441752,0.5975796028419778,1.104084403426559,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,2,1.614467163880666,0.6774973273277283,0.5797299400523857,0.5320973412858115,0.47632598711384666,1.0347372227244906,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,3,1.495711984457793,0.6459531188011169,0.5309512455154348,0.489903771215015,0.4104747225840886,0.9647607383904634,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,4,1.4406223893165588,0.6278972625732422,0.49449340999126434,0.45853229418948843,0.35961114835959895,0.9461289831885585,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
