missing_type,rho,aware_acc,aware_mae,aware_f1,unaware_acc,unaware_mae,d_acc_vs_clean,d_mae_vs_clean
audio,0.1,0.5992445054945055,0.6007938832044601,0.592100920060966,0.5992445054945055,0.6007938832044601,-0.0010302197802197766,-0.0001796633005142212
audio,0.2,0.5985576923076923,0.6004811078310013,0.5915898668560264,0.5985576923076923,0.6004811078310013,-0.001717032967032961,-0.0004924386739730835
audio,0.3,0.5989010989010989,0.5998713821172714,0.5920648746080994,0.5989010989010989,0.5998713821172714,-0.0013736263736263687,-0.001102164387702942
audio,0.5,0.5968406593406593,0.5987376719713211,0.5906975383851958,0.5968406593406593,0.5987376719713211,-0.003434065934065922,-0.0022358745336532593
audio,1.0,0.592032967032967,0.5989101529121399,0.5868343308495879,0.592032967032967,0.5989101529121399,-0.008241758241758212,-0.0020633935928344727
audio+vision,0.1,0.6033653846153846,0.6004763841629028,0.596393674835057,0.6033653846153846,0.6004763841629028,0.0030906593406593297,-0.0004971623420715332
audio+vision,0.2,0.6033653846153846,0.6005309224128723,0.5967349128530961,0.6033653846153846,0.6005309224128723,0.0030906593406593297,-0.0004426240921020508
audio+vision,0.3,0.6043956043956044,0.6000120788812637,0.5980707429878026,0.6043956043956044,0.6000120788812637,0.004120879120879106,-0.0009614676237106323
audio+vision,0.5,0.6026785714285714,0.6008653789758682,0.5972580523188634,0.6026785714285714,0.6008653789758682,0.0024038461538461453,-0.00010816752910614014
audio+vision,1.0,0.6071428571428571,0.6071901321411133,0.6031654452361507,0.6071428571428571,0.6071901321411133,0.006868131868131844,0.006216585636138916
text,0.1,0.5964972527472527,0.6061835438013077,0.5888992554078529,0.5964972527472527,0.6061835438013077,-0.003777472527472514,0.005209997296333313
text,0.2,0.5868818681318682,0.613318607211113,0.5809942202686795,0.5868818681318682,0.613318607211113,-0.013392857142857095,0.01234506070613861
text,0.3,0.582760989010989,0.6236450523138046,0.5794054560239664,0.582760989010989,0.6236450523138046,-0.0175137362637362,0.02267150580883026
text,0.5,0.5377747252747253,0.6561138480901718,0.5350648039793012,0.5377747252747253,0.6561138480901718,-0.0625,0.05514030158519745
text,1.0,0.36675824175824173,0.7632150053977966,0.2966032574165776,0.36675824175824173,0.7632150053977966,-0.23351648351648352,0.16224145889282227
text+audio,0.1,0.595467032967033,0.6048769801855087,0.5885628457948127,0.595467032967033,0.6048769801855087,-0.004807692307692291,0.003903433680534363
text+audio,0.2,0.5879120879120879,0.6125144362449646,0.5830864881111669,0.5879120879120879,0.6125144362449646,-0.012362637362637319,0.011540889739990234
text+audio,0.3,0.5779532967032966,0.6227990090847015,0.5750227740331236,0.5779532967032966,0.6227990090847015,-0.022321428571428603,0.021825462579727173
text+audio,0.5,0.542239010989011,0.6549291610717773,0.5433663338806484,0.542239010989011,0.6549291610717773,-0.0580357142857143,0.05395561456680298
text+audio,1.0,0.3241758241758242,0.7639658451080322,0.24842890191586373,0.3241758241758242,0.7639658451080322,-0.27609890109890106,0.16299229860305786
text+audio+vision,0.1,0.5927197802197802,0.6049338579177856,0.5854340959767421,0.5927197802197802,0.6049338579177856,-0.007554945054945028,0.003960311412811279
text+audio+vision,0.2,0.592032967032967,0.6140546500682831,0.5869528283029853,0.592032967032967,0.6140546500682831,-0.008241758241758212,0.013081103563308716
text+audio+vision,0.3,0.584478021978022,0.6247196793556213,0.5826148728205106,0.584478021978022,0.6247196793556213,-0.01579670329670324,0.023746132850646973
text+audio+vision,0.5,0.5412087912087913,0.6595051139593124,0.5431150986182998,0.5412087912087913,0.6595051139593124,-0.05906593406593397,0.058531567454338074
text+audio+vision,1.0,0.25274725274725274,0.7842156291007996,0.13450292397660818,0.25274725274725274,0.7842156291007996,-0.3475274725274725,0.1832420825958252
vision,0.1,0.6026785714285714,0.6008563935756683,0.595503802779765,0.6026785714285714,0.6008563935756683,0.0024038461538461453,-0.00011715292930603027
vision,0.2,0.6019917582417582,0.6012495160102844,0.5947766475375196,0.6019917582417582,0.6012495160102844,0.001717032967032961,0.0002759695053100586
vision,0.3,0.6043956043956044,0.6014501303434372,0.5974737095399836,0.6043956043956044,0.6014501303434372,0.004120879120879106,0.0004765838384628296
vision,0.5,0.6016483516483516,0.6030236929655075,0.5943924681186886,0.6016483516483516,0.6030236929655075,0.0013736263736263687,0.002050146460533142
vision,1.0,0.6112637362637363,0.6074352264404297,0.604622929535925,0.6112637362637363,0.6074352264404297,0.010989010989011061,0.006461679935455322
