phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,1.7737894190682306,0.7448670268058777,0.6691280680674093,0.6104137175888927,0.5871435253432503,1.1046613454818726,0.0,0.0,0.0,0.0,0.0,,,
teacher,2,1.6310622824562921,0.6791977286338806,0.5915831448855223,0.5430181136837712,0.48565031864024977,1.0394791430897183,0.0,0.0,0.0,0.0,0.0,,,
teacher,3,1.4949042201042175,0.648078441619873,0.5230558200014962,0.48311758041381836,0.3993823569681909,0.9718484094849339,0.0,0.0,0.0,0.0,0.0,,,
teacher,4,1.4223441591969244,0.6275748610496521,0.48410910588723643,0.44923253674749974,0.34876570795421247,0.9382350555172673,0.0,0.0,0.0,0.0,0.0,,,
teacher,5,1.3878523199646562,0.6166457533836365,0.4745401665568352,0.4415647081202931,0.32975459857671346,0.9133121426458712,0.0,0.0,0.0,0.0,0.0,,,
teacher,6,1.380828371754399,0.6121564507484436,0.47181423670715755,0.4398874491453171,0.31926788955375,0.9090141367029261,0.0,0.0,0.0,0.0,0.0,,,
teacher,7,1.3661643112147297,0.608941376209259,0.46420704214661207,0.43430278201897937,0.29904258209798074,0.9019572701719072,0.0,0.0,0.0,0.0,0.0,,,
teacher,8,1.3495535166175276,0.6062328815460205,0.4623530711288805,0.432846545069306,0.2950652521793489,0.8872004427291729,0.0,0.0,0.0,0.0,0.0,,,
teacher,9,1.3320134348339505,0.6042258143424988,0.45023778632835104,0.4222703868592227,0.27967397404696653,0.8817756474018097,0.0,0.0,0.0,0.0,0.0,,,
teacher,10,1.327477890032309,0.6033275127410889,0.44708245164818233,0.4195835060543484,0.27498946173323524,0.8803954488701291,0.0,0.0,0.0,0.0,0.0,,,
teacher,11,1.2958786366162476,0.602733850479126,0.43039192714624935,0.4058433328927667,0.24548590693760802,0.8654867134712361,0.0,0.0,0.0,0.0,0.0,,,
teacher,12,1.310438405584406,0.6025391221046448,0.4391012754705217,0.41352025005552506,0.2558102639461005,0.8713371367366226,0.0,0.0,0.0,0.0,0.0,,,
teacher,13,1.30016929352725,0.6024008393287659,0.43876911644582395,0.4131224470006095,0.25646670990520054,0.8614001792890055,0.0,0.0,0.0,0.0,0.0,,,
teacher,14,1.3175595667627122,0.6022303104400635,0.44481552199081137,0.4187826751558869,0.26032845786324255,0.8727440425643215,0.0,0.0,0.0,0.0,0.0,,,
teacher,15,1.2916607238628246,0.6022276282310486,0.43411988185511696,0.40959673857799284,0.24523144712050757,0.8575408436633922,0.0,0.0,0.0,0.0,0.0,,,
teacher,16,1.305027718897219,0.602210521697998,0.4350704732868407,0.410519364255446,0.2455110790475306,0.8699572439546939,0.0,0.0,0.0,0.0,0.0,,,
student,1,1.7752294650784246,0.7467426657676697,0.6693823649375527,0.6100918529210267,0.592905118095654,1.105847089378922,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,2,1.643609623114268,0.6788884401321411,0.5896784067153931,0.5416461841927634,0.48032222991740264,1.0539312219178234,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,3,1.48926121879507,0.6465577483177185,0.5249360391387233,0.4850544201003181,0.3988161884524204,0.964325174137398,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,4,1.4138058401920177,0.6300429701805115,0.48453499871754535,0.45023067937129074,0.3430432343372592,0.929270840353436,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,5,1.3973047446321558,0.6208131313323975,0.48051745996431067,0.4478431904205569,0.3267427129601991,0.9167872810805285,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,6,1.3823835364094488,0.6145346760749817,0.48002898748274203,0.4474025313501005,0.32626453248990905,0.9023545549975501,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,7,1.353312697675493,0.6101066470146179,0.4589173473693706,0.4301998433139589,0.28717506814886024,0.8943953536174916,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,8,1.348237850047924,0.6070137619972229,0.4612386397741459,0.432186899361787,0.29051743137339753,0.8869992108256729,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,9,1.330771889951494,0.6045719385147095,0.4507410471086149,0.42356772941571696,0.2717331650632399,0.8800308417390894,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,10,1.3458725942505732,0.6024466753005981,0.464922367422669,0.4358513636721505,0.2907100474047992,0.8809502290354835,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,11,1.308648787162922,0.6015063524246216,0.4400669656417988,0.4142667885731768,0.2580017713760888,0.8685818093794363,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,12,1.2958099886223122,0.6002417206764221,0.4384892229680662,0.4127622964205565,0.2572692627156222,0.8573207568239283,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,13,1.298350093541322,0.6001433730125427,0.431627678098502,0.40740268484309866,0.2422499252414262,0.866722411579556,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,14,1.2992062701119318,0.5998154878616333,0.4366278013697377,0.4124864141146342,0.2414138660662704,0.8625784715016683,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,15,1.3076584427445024,0.5997121930122375,0.44725567212811224,0.42110656919302764,0.26149104673553397,0.8604027606822826,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
