missing_type,rho,aware_acc,aware_mae,aware_f1,unaware_acc,unaware_mae,d_acc_vs_clean,d_mae_vs_clean
audio,0.1,0.5834478021978022,0.5985455811023712,0.5815019996882715,0.5834478021978022,0.5985538810491562,0.003777472527472514,-0.00046887993812561035
audio,0.2,0.5858516483516484,0.5981855094432831,0.5835752762951483,0.5855082417582418,0.5981826931238174,0.006181318681318659,-0.0008289515972137451
audio,0.3,0.5882554945054945,0.5979083776473999,0.586071762239302,0.5889423076923077,0.5978983938694,0.008585164835164805,-0.0011060833930969238
audio,0.5,0.5913461538461539,0.5970020443201065,0.5892579350283355,0.5892857142857143,0.5969706177711487,0.011675824175824134,-0.00201241672039032
audio,1.0,0.5934065934065934,0.5961927771568298,0.5916101112502911,0.5892857142857143,0.5960256457328796,0.013736263736263687,-0.002821683883666992
audio+vision,0.1,0.5834478021978022,0.598432183265686,0.5813671198922761,0.5834478021978022,0.5984029024839401,0.003777472527472514,-0.000582277774810791
audio+vision,0.2,0.5851648351648352,0.5984792560338974,0.5827603244566298,0.5851648351648352,0.5983990877866745,0.005494505494505475,-0.0005352050065994263
audio+vision,0.3,0.5875686813186813,0.5984856188297272,0.5854660004784046,0.5875686813186813,0.5983467847108841,0.00789835164835162,-0.0005288422107696533
audio+vision,0.5,0.5899725274725275,0.5997083336114883,0.5880843975620601,0.5903159340659341,0.599453940987587,0.010302197802197766,0.0006938725709915161
audio+vision,1.0,0.6057692307692307,0.6048177480697632,0.6022659226754791,0.6057692307692307,0.6042852997779846,0.026098901098901006,0.005803287029266357
text,0.1,0.5807005494505495,0.6051997542381287,0.5782378565836548,0.5810439560439561,0.6052401214838028,0.0010302197802197766,0.006185293197631836
text,0.2,0.5820741758241759,0.614120289683342,0.5803813503257264,0.5813873626373627,0.6141946166753769,0.0024038461538461453,0.015105828642845154
text,0.3,0.5707417582417582,0.6250122040510178,0.5706564961153078,0.5679945054945055,0.6251457780599594,-0.008928571428571508,0.025997743010520935
text,0.5,0.5367445054945055,0.6568941324949265,0.5385791309619179,0.5350274725274725,0.6571463197469711,-0.042925824175824245,0.057879671454429626
text,1.0,0.36675824175824173,0.7661336660385132,0.30001862610558266,0.35714285714285715,0.7661250829696655,-0.212912087912088,0.16711920499801636
text+audio,0.1,0.5831043956043956,0.6044799536466599,0.5804755709685885,0.5817307692307693,0.6045267581939697,0.003434065934065922,0.005465492606163025
text+audio,0.2,0.5831043956043956,0.6133126318454742,0.5811652683681869,0.5817307692307693,0.613400861620903,0.003434065934065922,0.014298170804977417
text+audio,0.3,0.5731456043956044,0.6233458071947098,0.5732585989479553,0.5703983516483516,0.6235006004571915,-0.006524725274725363,0.02433134615421295
text+audio,0.5,0.5408653846153846,0.6550574898719788,0.5437723296873797,0.5384615384615385,0.6553499698638916,-0.03880494505494514,0.056043028831481934
text+audio,1.0,0.34615384615384615,0.7651158571243286,0.27802846565928396,0.33791208791208793,0.7655770182609558,-0.23351648351648358,0.1661013960838318
text+audio+vision,0.1,0.5848214285714286,0.6044882386922836,0.5821488372727441,0.5848214285714286,0.6044894456863403,0.005151098901098883,0.005473777651786804
text+audio+vision,0.2,0.586195054945055,0.6146456152200699,0.5843466328198392,0.584478021978022,0.6146436333656311,0.0065247252747252515,0.01563115417957306
text+audio+vision,0.3,0.5793269230769231,0.6251151859760284,0.5793705212451469,0.5779532967032968,0.6251197457313538,-0.0003434065934065922,0.026100724935531616
text+audio+vision,0.5,0.5470467032967034,0.6589074730873108,0.5517240054890478,0.5415521978021978,0.658929169178009,-0.03262362637362637,0.059893012046813965
text+audio+vision,1.0,0.25274725274725274,0.7840816974639893,0.13450292397660818,0.25274725274725274,0.784108579158783,-0.326923076923077,0.18506723642349243
vision,0.1,0.582760989010989,0.5992135256528854,0.5807706817415799,0.582760989010989,0.599192425608635,0.0030906593406593297,0.00019906461238861084
vision,0.2,0.5817307692307693,0.5997658669948578,0.5799604188208942,0.5817307692307693,0.5996998250484467,0.002060439560439553,0.0007514059543609619
vision,0.3,0.5793269230769231,0.6001175194978714,0.5774329449672109,0.5793269230769231,0.6000025272369385,-0.0003434065934065922,0.0011030584573745728
vision,0.5,0.5848214285714286,0.601704940199852,0.5828532402397075,0.5851648351648352,0.6015077829360962,0.005151098901098883,0.0026904791593551636
vision,1.0,0.5879120879120879,0.6068404316902161,0.5860839683409642,0.5879120879120879,0.6064555644989014,0.008241758241758212,0.007825970649719238
