phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.6575937580179283,0.7814500331878662,0.6996966147864306,0.6372461352083418,0.6245048134415238,1.112184504667918,0.3690894290252968,0.8696394165356954,0.04953303560614586,0.006911573474536891,1.358118929244854,,,,,,,
teacher,2,2.4953922165764704,0.7166692614555359,0.6852764906706633,0.6249362279971441,0.6034026068669779,1.104755010869768,0.2698875042023482,0.8178766469160715,0.02090978160224579,0.005874489434063435,1.3142768674426608,,,,,,,
teacher,3,2.205975940933934,0.628836452960968,0.5440364435867027,0.5020316463929636,0.42004795855394117,0.9939661732426396,0.2353403201257741,0.7973332625848276,0.03755834170927604,0.005702598710302953,1.2335901657740276,,,,,,,
teacher,4,2.0323065166120178,0.6019225120544434,0.47611966011700807,0.44232322330828067,0.3379643620164306,0.9197275958679341,0.21533950804560273,0.783859650293986,0.029523504553017794,0.005404953077366507,1.1725673057414867,,,,,,,
teacher,5,1.9838426068977073,0.5979808568954468,0.4572670238989371,0.42584039050119893,0.3142663397722774,0.9100057780742645,0.2024669087043515,0.7748590431831501,0.025462577809338218,0.005210496640453736,1.1336841340418216,,,,,,,
teacher,6,1.9410991116806313,0.6066697239875793,0.43760157845638414,0.4084747030779167,0.29126876316688677,0.8947941649843145,0.19839923939219228,0.7689134301962676,0.024661020065347355,0.005051376185966311,1.099121007654402,,,,,,,
teacher,7,1.9064058308248166,0.6006795167922974,0.42306963989028223,0.39685833012616195,0.2621130979861374,0.8888795497240843,0.18766679366429648,0.7641016377343072,0.02323404016594092,0.004871266393887776,1.0686360244397763,,,,,,,
teacher,8,1.8624170245947662,0.5847015976905823,0.40079997700673564,0.37746680389951776,0.2333317287956123,0.8768052381497843,0.1828387975692749,0.7565440789416984,0.021905462430031213,0.00475414416373328,1.0371187263064914,,,,,,,
teacher,9,1.8400014285688047,0.5868890881538391,0.39294261788880386,0.37123402511632003,0.21708590351045132,0.8692728192717941,0.17873114816568517,0.7519433365927802,0.02134664834442514,0.004645522313054513,1.0087072838235784,,,,,,,
teacher,10,1.8294842265270375,0.5832233428955078,0.39867820204408083,0.37658195390745447,0.22096248729913323,0.8580223597862102,0.17524083262240445,0.7494017051325904,0.021392886319922075,0.00464166399884831,0.9824715080084624,,,,,,,
teacher,11,1.8101407377808183,0.586205780506134,0.3843108473552598,0.3643322040637334,0.19978643379484615,0.8539890933919836,0.17556056683814084,0.7475337673116613,0.02116786867932037,0.004598135042383715,0.9630364499710224,,,,,,,
teacher,12,1.8062780035866632,0.5871983766555786,0.3841013762134093,0.3639224265460615,0.2017895057969899,0.8535486570111027,0.17415561002713661,0.7445253840199223,0.020950919551843847,0.004537183187764,0.946562240521113,,,,,,,
