phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.6382840165385493,0.7823581695556641,0.6868301585868553,0.6257385832292063,0.6109157613030186,1.1135473516252306,0.37291058235698277,0.8732523068233773,0.04982532343516747,0.006914200209495094,0.0,,,,,,,
teacher,2,2.505151722166273,0.7710127830505371,0.6980782360942276,0.6363330726270322,0.6174516457098501,1.1071263375105682,0.2759253429593863,0.8240785046860024,0.01839607034775394,0.0055690619542642875,0.0,,,,,,,
teacher,3,2.394567365999575,0.6865894198417664,0.6527958744102054,0.5956184008607158,0.5717746954825189,1.0997273171389546,0.23187772598531511,0.7959721629266385,0.01910474156546924,0.005255954417710503,0.0,,,,,,,
teacher,4,2.1049607594807944,0.6399779319763184,0.5137986529756475,0.4748778056215357,0.38920845063748183,0.9608970560409404,0.21512680969856404,0.7856253418657515,0.03941338112646783,0.005237758220000951,0.0,,,,,,,
teacher,5,2.0155801905526056,0.6147558689117432,0.481885658370124,0.44744257628917694,0.344430825776524,0.9281673453472279,0.20095632197680297,0.7763235282014918,0.028055781291590795,0.004762401286926534,0.0,,,,,,,
teacher,6,1.9510933337388214,0.6099534630775452,0.4529167910416921,0.4220312204625871,0.30885568882028264,0.9032736895260988,0.19441193811319493,0.7711802588568794,0.025169312195093545,0.004632248482839377,0.0,,,,,,,
teacher,7,1.921078368469521,0.5969719290733337,0.4381411340501573,0.4079822202523549,0.3015891408064851,0.8941009298518852,0.19294610288408068,0.764242759457341,0.02311703074654495,0.004420614956567685,0.0,,,,,,,
teacher,8,1.876101842633,0.5931188464164734,0.4187513827173798,0.39271805352634853,0.2603332828730345,0.8812707695696089,0.18257701093399967,0.760773178603914,0.02195762304796113,0.004274530237092188,0.0,,,,,,,
teacher,9,1.8622682867226776,0.5914801359176636,0.40652173040089784,0.3819214836866767,0.24600248535474142,0.8829266671781186,0.18220563839983056,0.7561306092474196,0.020891490444127057,0.004206409263941977,0.0,,,,,,,
teacher,10,1.8574536906348333,0.5904732942581177,0.40345410726688524,0.37955648286475074,0.23897625828437782,0.8797996872001224,0.18475259123025117,0.7547076752892247,0.020036526386522584,0.004150424553598795,0.0,,,,,,,
