split,variant,mae,pearson,ccc,bias,mae_strong,mae_weak,bias_neg,bias_pos,acc_theta,f1_theta,theta
valid,V0 μ（现状基线）,0.5866156220436096,0.6543079614639282,0.6278010480919672,-0.026284847408533096,1.079765796661377,0.4020534157752991,0.5414835214614868,-0.4465501010417938,0.6181318681318682,0.5946952759139652,0.28
valid,V1 E|y|×sgn(μ),0.7158518433570862,0.5556589365005493,0.5380486600155807,-0.006170266307890415,1.2183077335357666,0.6993664503097534,0.5434665083885193,-0.4765733480453491,0.6057692307692307,0.5931762832720925,0.7
valid,V2 E|y|×sgn(集成投票),0.7158518433570862,0.5556589365005493,0.5380486600155807,-0.006170266307890415,1.2183077335357666,0.6993664503097534,0.5434665083885193,-0.4765733480453491,0.6057692307692307,0.5931762832720925,0.7
valid,V3 E|y|×硬符号(分类头),0.6132146659829132,0.6051004946157379,0.5570853830919105,-0.12335267882016333,1.269171284712278,0.403779732361661,0.5138528728948056,-0.6017465582172546,0.6222527472527473,0.6162387441230378,0.64
valid,V4 E|y|×软符号(p₊−p₋),0.6110744476318359,0.6483220458030701,0.4929141504685727,-0.1355685442686081,1.426237940788269,0.2722281217575073,0.6659470200538635,-0.7163477540016174,0.6332417582417582,0.613510659785113,0.16
valid,V5 E|y|×oracle符号（诊断上界）,0.36561912298202515,0.8676530122756958,0.8115141340145116,-0.05397237464785576,1.060050129890442,0.19302599132061005,0.16535155475139618,-0.21702457964420319,1.0,1.0,0.0
valid,V6 0.5·(μ + V1),0.6281160712242126,0.6289498805999756,0.5994982886652805,-0.01622755080461502,1.1319098472595215,0.5316874980926514,0.5424749851226807,-0.4615616798400879,0.6456043956043956,0.6086881663521102,0.46
test,V0 μ（现状基线）,0.6216422319412231,0.6806802153587341,0.6515111476502282,-0.022717785090208054,1.0861248970031738,0.41635751724243164,0.5889268517494202,-0.44632598757743835,0.6506189821182944,0.6136777291892804,0.28
test,V1 E|y|×sgn(μ),0.7247559428215027,0.6175779104232788,0.5855910880376015,0.025897830724716187,1.2001979351043701,0.6935154795646667,0.688747227191925,-0.43302151560783386,0.6368638239339752,0.5916567870576229,0.7
test,V2 E|y|×sgn(集成投票),0.7247559428215027,0.6175779104232788,0.5855910880376015,0.025897830724716187,1.2001979351043701,0.6935154795646667,0.688747227191925,-0.43302151560783386,0.6368638239339752,0.5916567870576229,0.7
test,V3 E|y|×硬符号(分类头),0.6628526032708862,0.6412299171179404,0.5835693473064504,-0.11119603569602704,1.2476467726434148,0.4304748403115405,0.6116016767739098,-0.589939811858683,0.6547455295735901,0.6361429236182025,0.64
test,V4 E|y|×软符号(p₊−p₋),0.6700072288513184,0.6838077306747437,0.5171359648350543,-0.12884464859962463,1.4168829917907715,0.2727466821670532,0.7779635190963745,-0.726768970489502,0.640990371389271,0.6015221337801983,0.16
test,V5 E|y|×oracle符号（诊断上界）,0.4145403802394867,0.8845650553703308,0.8131670002413288,-0.02722911722958088,1.0642613172531128,0.2002895474433899,0.33313149213790894,-0.24517619609832764,1.0,1.0,0.0
test,V6 0.5·(μ + V1),0.6525617241859436,0.6738452315330505,0.6347613552514286,0.001590020372532308,1.1224554777145386,0.5371153354644775,0.6388369798660278,-0.4396737515926361,0.6698762035763411,0.615331383301235,0.46
