missing_type,rho,aware_acc,aware_mae,aware_f1,unaware_acc,unaware_mae,d_acc_vs_clean,d_mae_vs_clean
audio,0.1,0.6225961538461539,0.5866406261920929,0.6162190274944692,0.6225961538461539,0.5866702795028687,0.0003434065934065922,2.5004148483276367e-05
audio,0.2,0.6222527472527473,0.5866640359163284,0.615943727822507,0.6222527472527473,0.5866932272911072,0.0,4.8413872718811035e-05
audio,0.3,0.6212225274725275,0.5866540372371674,0.6148259583746317,0.6212225274725275,0.5866811722517014,-0.0010302197802197766,3.841519355773926e-05
audio,0.5,0.6219093406593407,0.5866174697875977,0.6154682082131705,0.6219093406593407,0.5866428166627884,-0.0003434065934065922,1.8477439880371094e-06
audio,1.0,0.625,0.5867998600006104,0.618429418918335,0.625,0.5868157744407654,0.0027472527472527375,0.00018423795700073242
audio+vision,0.1,0.6201923076923077,0.5870420336723328,0.6134929118178727,0.6208791208791209,0.5870523601770401,-0.002060439560439553,0.00042641162872314453
audio+vision,0.2,0.6212225274725275,0.5876284241676331,0.6147124632450977,0.6212225274725275,0.5876273363828659,-0.0010302197802197766,0.0010128021240234375
audio+vision,0.3,0.6201923076923077,0.5882522612810135,0.6137886041121017,0.6219093406593407,0.5882426351308823,-0.002060439560439553,0.0016366392374038696
audio+vision,0.5,0.6167582417582418,0.5898596495389938,0.6110075553609349,0.6164148351648352,0.589821457862854,-0.005494505494505475,0.0032440274953842163
audio+vision,1.0,0.6126373626373627,0.593751847743988,0.6090582504651647,0.6126373626373627,0.5935410857200623,-0.009615384615384581,0.007136225700378418
text,0.1,0.6129807692307693,0.5850483030080795,0.606934964544855,0.6133241758241759,0.5850897878408432,-0.009271978021977989,-0.0015673190355300903
text,0.2,0.6071428571428571,0.585015133023262,0.6019517405614797,0.6067994505494505,0.5851947218179703,-0.015109890109890167,-0.0016004890203475952
text,0.3,0.5958104395604396,0.5903693437576294,0.5913013552533916,0.5964972527472527,0.5909191370010376,-0.02644230769230771,0.0037537217140197754
text,0.5,0.5697115384615384,0.6180371046066284,0.5675096536416429,0.5697115384615384,0.6199193298816681,-0.05254120879120883,0.0314214825630188
text,1.0,0.3489010989010989,0.7670068144798279,0.3120208229905596,0.364010989010989,0.770788848400116,-0.2733516483516484,0.18039119243621826
text+audio,0.1,0.6146978021978022,0.5837119221687317,0.6083734262309456,0.6146978021978022,0.5837388038635254,-0.007554945054945028,-0.0029036998748779297
text+audio,0.2,0.6057692307692307,0.5855593383312225,0.6005153269134507,0.6061126373626373,0.5857033580541611,-0.016483516483516536,-0.001056283712387085
text+audio,0.3,0.5951236263736264,0.5909958332777023,0.5914943479661863,0.5934065934065934,0.5914822518825531,-0.027129120879120894,0.004380211234092712
text+audio,0.5,0.5676510989010989,0.6191907674074173,0.5655238378644535,0.5679945054945055,0.6208827644586563,-0.05460164835164838,0.03257514536380768
text+audio,1.0,0.3447802197802198,0.7676090002059937,0.30724634436389725,0.36126373626373626,0.7712135910987854,-0.2774725274725275,0.18099337816238403
text+audio+vision,0.1,0.617445054945055,0.5852008610963821,0.6117746473696501,0.617445054945055,0.5852149426937103,-0.004807692307692291,-0.001414760947227478
text+audio+vision,0.2,0.6092032967032968,0.587574303150177,0.6043091354148477,0.6078296703296704,0.5877346843481064,-0.013049450549450503,0.0009586811065673828
text+audio+vision,0.3,0.5968406593406593,0.593719556927681,0.593570903537453,0.5927197802197802,0.5942817777395248,-0.025412087912087933,0.00710393488407135
text+audio+vision,0.5,0.570054945054945,0.624410018324852,0.568086227197553,0.5683379120879121,0.6261016130447388,-0.052197802197802234,0.03779439628124237
text+audio+vision,1.0,0.2967032967032967,0.7815746068954468,0.25716574346131454,0.3173076923076923,0.7836338877677917,-0.32554945054945056,0.19495898485183716
vision,0.1,0.6222527472527473,0.587013378739357,0.6155414629402064,0.6222527472527473,0.5870237052440643,0.0,0.0003977566957473755
vision,0.2,0.6229395604395604,0.5876091569662094,0.6160940528375968,0.6229395604395604,0.5876105576753616,0.0006868131868131844,0.0009935349225997925
vision,0.3,0.6236263736263736,0.58823062479496,0.6170932073345772,0.6236263736263736,0.5882234275341034,0.0013736263736263687,0.0016150027513504028
vision,0.5,0.6177884615384616,0.5897762775421143,0.6115435738104973,0.6198489010989011,0.5897355675697327,-0.004464285714285698,0.0031606554985046387
vision,1.0,0.6126373626373627,0.5933842658996582,0.6088757390260188,0.6126373626373627,0.5931324362754822,-0.009615384615384581,0.006768643856048584
