split,bin,n,sigma_total,entropy,mae,acc_head,f1_head,mean_abs_y,miss_rate
valid,Q1(最确定),146,0.5942345261573792,0.875994086265564,0.38550013303756714,0.589041095890411,0.39919160455371383,0.4109589159488678,0.10273972602739725
valid,Q2,145,0.6571040153503418,0.8960884809494019,0.47029146552085876,0.5241379310344828,0.4013270882123341,0.5896551609039307,0.07586206896551724
valid,Q3,146,0.7196158170700073,0.8591036796569824,0.5587623119354248,0.589041095890411,0.5380713095880804,0.7043378353118896,0.03424657534246575
valid,Q4,145,0.8092260956764221,0.7630447745323181,0.6620159149169922,0.6689655172413793,0.5251124634756469,0.9068965315818787,0.08275862068965517
valid,Q5(最不确定),146,0.9742879867553711,0.6206416487693787,0.856227457523346,0.7397260273972602,0.48919860627177697,1.2328766584396362,0.03424657534246575
test,Q1(最确定),146,0.60349440574646,0.8617731332778931,0.4312315881252289,0.5753424657534246,0.4053684210526316,0.5479452013969421,0.0273972602739726
test,Q2,145,0.6741382479667664,0.8865911960601807,0.5268973708152771,0.5862068965517241,0.4807210750573582,0.6804597973823547,0.06206896551724138
test,Q3,145,0.7383721470832825,0.8510813117027283,0.59937983751297,0.6482758620689655,0.553239024792027,0.8206896781921387,0.041379310344827586
test,Q4,145,0.8395729660987854,0.7396615743637085,0.750467836856842,0.6551724137931034,0.49256205028700784,0.9540230631828308,0.041379310344827586
test,Q5(最不确定),146,1.0029197931289673,0.575617253780365,0.8003152012825012,0.8013698630136986,0.5234521575984991,1.4200912714004517,0.10273972602739725
