split,order_by,coverage,keep_n,rejected,mae,acc_head,f1_head,d_mae,d_acc
valid,sigma_total(升序),1.0,728,0,0.5866156220436096,0.6222527472527473,0.6158452245491158,0.0,0.0
valid,sigma_total(升序),0.9,655,73,0.5465404987335205,0.6091603053435114,0.6000889588218355,-0.04007512331008911,-0.013092441909235863
valid,sigma_total(升序),0.8,582,146,0.5189809799194336,0.5927835051546392,0.562127527406494,-0.06763464212417603,-0.029469242098108084
valid,sigma_total(升序),0.7,510,218,0.4967571496963501,0.5803921568627451,0.5287880435016733,-0.08985847234725952,-0.04186059039000212
valid,sigma_total(升序),0.5,364,364,0.44950488209724426,0.5631868131868132,0.4464214747001633,-0.13711073994636536,-0.05906593406593408
valid,entropy(升序),1.0,728,0,0.5866156220436096,0.6222527472527473,0.6158452245491158,0.0,0.0
valid,entropy(升序),0.9,655,73,0.5790951251983643,0.6366412213740458,0.6261264582502576,-0.007520496845245361,0.014388474121298511
valid,entropy(升序),0.8,582,146,0.584537923336029,0.6735395189003437,0.6580577891133149,-0.0020776987075805664,0.05128677164759643
valid,entropy(升序),0.7,510,218,0.5971617698669434,0.6980392156862745,0.6768396454540816,0.01054614782333374,0.07578646843352721
valid,entropy(升序),0.5,364,364,0.6275187134742737,0.7637362637362637,0.6997303817227188,0.04090309143066406,0.14148351648351642
test,sigma_total(升序),1.0,727,0,0.6216422319412231,0.6533700137551581,0.6337769922081339,0.0,0.0
test,sigma_total(升序),0.9,654,73,0.6045567393302917,0.6299694189602446,0.6095762690105967,-0.017085492610931396,-0.02340059479491352
test,sigma_total(升序),0.8,582,145,0.5778631567955017,0.6151202749140894,0.5844627286155246,-0.043779075145721436,-0.03824973884106875
test,sigma_total(升序),0.7,509,218,0.543059229850769,0.6129666011787819,0.5675675675675675,-0.0785830020904541,-0.04040341257637625
test,sigma_total(升序),0.5,364,363,0.49101099371910095,0.6098901098901099,0.48550330879164055,-0.1306312382221222,-0.043479903865048186
test,entropy(升序),1.0,727,0,0.6216422319412231,0.6533700137551581,0.6337769922081339,0.0,0.0
test,entropy(升序),0.9,654,73,0.6132025122642517,0.6850152905198776,0.6625514403292181,-0.008439719676971436,0.03164527676471951
test,entropy(升序),0.8,582,145,0.6245089769363403,0.7164948453608248,0.6858349677470011,0.0028667449951171875,0.06312483160566662
test,entropy(升序),0.7,509,218,0.6334148049354553,0.7426326129666012,0.6956328780867903,0.011772572994232178,0.08926259921144308
test,entropy(升序),0.5,364,363,0.6715947389602661,0.8214285714285714,0.7022311759569305,0.04995250701904297,0.16805855767341327
