split,order_by,coverage,n,mae,acc,f1
valid,sigma_total(升序),0.05,36,0.39482706785202026,0.5277777777777778,0.32870798643231575
valid,sigma_total(升序),0.1,73,0.35961318016052246,0.6027397260273972,0.3851921274601687
valid,sigma_total(升序),0.15,109,0.3914875090122223,0.6146788990825688,0.4047619047619047
valid,sigma_total(升序),0.2,146,0.38550013303756714,0.589041095890411,0.39919160455371383
valid,sigma_total(升序),0.25,182,0.39923515915870667,0.5769230769230769,0.39420871559633025
valid,sigma_total(升序),0.3,218,0.3996080756187439,0.5504587155963303,0.38426017547331615
valid,sigma_total(升序),0.35,255,0.4067308008670807,0.5529411764705883,0.3919022337016311
valid,sigma_total(升序),0.4,291,0.4277501702308655,0.5567010309278351,0.41375209436741667
valid,sigma_total(升序),0.45,328,0.4437136650085449,0.5670731707317073,0.44364996806277945
valid,sigma_total(升序),0.5,364,0.44950488209724426,0.5631868131868132,0.4464214747001633
valid,sigma_total(升序),0.55,400,0.45580893754959106,0.5675,0.47423960971948587
valid,sigma_total(升序),0.6,437,0.4715208113193512,0.5675057208237986,0.48884817479552645
valid,sigma_total(升序),0.65,473,0.4877568483352661,0.5687103594080338,0.5060953778913172
valid,sigma_total(升序),0.7,510,0.4967571496963501,0.5803921568627451,0.5287880435016733
valid,sigma_total(升序),0.75,546,0.5062049627304077,0.5879120879120879,0.5507142430219353
valid,sigma_total(升序),0.8,582,0.5189809799194336,0.5927835051546392,0.562127527406494
valid,sigma_total(升序),0.85,619,0.5329688191413879,0.6025848142164781,0.5877140581441657
valid,sigma_total(升序),0.9,655,0.5465404987335205,0.6091603053435114,0.6000889588218355
valid,sigma_total(升序),0.95,692,0.5601178407669067,0.6141618497109826,0.6078351590116297
valid,sigma_total(升序),1.0,728,0.5866156220436096,0.6222527472527473,0.6158452245491158
valid,entropy(升序),0.05,36,0.6230221390724182,0.8888888888888888,0.6177698270721527
valid,entropy(升序),0.1,73,0.6091196537017822,0.9041095890410958,0.6241448692152917
valid,entropy(升序),0.15,109,0.6101703643798828,0.9174311926605505,0.6285493414206286
valid,entropy(升序),0.2,146,0.6775371432304382,0.8835616438356164,0.609318273497378
valid,entropy(升序),0.25,182,0.6824146509170532,0.8516483516483516,0.5887802254491971
valid,entropy(升序),0.3,218,0.6611196994781494,0.8394495412844036,0.6634039686525876
valid,entropy(升序),0.35,255,0.6541804075241089,0.807843137254902,0.6524173738925948
valid,entropy(升序),0.4,291,0.6355316638946533,0.8075601374570447,0.6841420078269745
valid,entropy(升序),0.45,328,0.6388620138168335,0.7652439024390244,0.6642645336522888
valid,entropy(升序),0.5,364,0.6275187134742737,0.7637362637362637,0.6997303817227188
valid,entropy(升序),0.55,400,0.6131477952003479,0.7525,0.7023674603450076
valid,entropy(升序),0.6,437,0.6071869730949402,0.7414187643020596,0.7066124738683969
valid,entropy(升序),0.65,473,0.5935793519020081,0.7167019027484144,0.6915953483635254
valid,entropy(升序),0.7,510,0.5971617698669434,0.6980392156862745,0.6768396454540816
valid,entropy(升序),0.75,546,0.5917385220527649,0.6868131868131868,0.6686569141568107
valid,entropy(升序),0.8,582,0.584537923336029,0.6735395189003437,0.6580577891133149
valid,entropy(升序),0.85,619,0.579218864440918,0.6591276252019386,0.6467078987127103
valid,entropy(升序),0.9,655,0.5790951251983643,0.6366412213740458,0.6261264582502576
valid,entropy(升序),0.95,692,0.584775447845459,0.634393063583815,0.6263822903675368
valid,entropy(升序),1.0,728,0.5866156220436096,0.6222527472527473,0.6158452245491158
valid,oracle_mae,0.05,36,0.02070082724094391,0.7777777777777778,0.7890899949723479
valid,oracle_mae,0.1,73,0.04060840606689453,0.7671232876712328,0.7883567470627457
valid,oracle_mae,0.15,109,0.061170633882284164,0.7889908256880734,0.8146498146498146
valid,oracle_mae,0.2,146,0.08406037092208862,0.8082191780821918,0.819384796691538
valid,oracle_mae,0.25,182,0.1033039540052414,0.8186813186813187,0.826761702557881
valid,oracle_mae,0.3,218,0.12237804383039474,0.8073394495412844,0.812617810934126
valid,oracle_mae,0.35,255,0.14326061308383942,0.792156862745098,0.8018702481319305
valid,oracle_mae,0.4,291,0.163168266415596,0.7800687285223368,0.7905543414247477
valid,oracle_mae,0.45,328,0.18263386189937592,0.7713414634146342,0.7816703853769837
valid,oracle_mae,0.5,364,0.2028786838054657,0.7554945054945055,0.7628128614388157
valid,oracle_mae,0.55,400,0.22441112995147705,0.7475,0.759104429258191
valid,oracle_mae,0.6,437,0.2488967925310135,0.7276887871853547,0.7398452982005397
valid,oracle_mae,0.65,473,0.27480581402778625,0.7103594080338267,0.7218486922121374
valid,oracle_mae,0.7,510,0.3032194972038269,0.692156862745098,0.702319552116217
valid,oracle_mae,0.75,546,0.3326084613800049,0.6776556776556777,0.6848560108194429
valid,oracle_mae,0.8,582,0.365874707698822,0.6718213058419243,0.6761221262279121
valid,oracle_mae,0.85,619,0.4043571352958679,0.654281098546042,0.6535991682227511
valid,oracle_mae,0.9,655,0.45013412833213806,0.650381679389313,0.6481041665469863
valid,oracle_mae,0.95,692,0.5053737759590149,0.6372832369942196,0.6328404827175341
valid,oracle_mae,1.0,728,0.5866156220436096,0.6222527472527473,0.6158452245491158
