split,group,n,sigma_model,sigma_ens,sigma_total,entropy,mae,acc_head
valid,强度 |y|<=0.5,331,0.6963562965393066,0.06674689054489136,0.7015264630317688,0.8892186284065247,0.4020534157752991,0.5045317220543807
valid,强度 0.5<|y|<=1.5,267,0.7561710476875305,0.08014281839132309,0.7636317610740662,0.7902612686157227,0.5753067135810852,0.6591760299625468
valid,强度 |y|>1.5,130,0.8438097238540649,0.08885936439037323,0.8507010340690613,0.609086275100708,1.079765796661377,0.8461538461538461
valid,含缺失,48,0.7060053944587708,0.07233718782663345,0.712224543094635,0.8249915242195129,0.5179522037506104,0.5208333333333334
valid,无缺失,680,0.7473508715629578,0.07583953440189362,0.7536754012107849,0.801342248916626,0.5914624333381653,0.6294117647058823
valid,极性判对,453,0.7595179677009583,0.07933463901281357,0.7662677764892578,0.743133008480072,0.4696192443370819,1.0
valid,极性判错,275,0.7200917601585388,0.0694708302617073,0.7256973385810852,0.9013565182685852,0.7793404459953308,0.0
test,强度 |y|<=0.5,288,0.7107861042022705,0.0681857168674469,0.7166391611099243,0.8800722360610962,0.41635751724243164,0.5243055555555556
test,强度 0.5<|y|<=1.5,275,0.765787661075592,0.0790126845240593,0.7725397348403931,0.7895897626876831,0.5596306324005127,0.6690909090909091
test,强度 |y|>1.5,164,0.8589328527450562,0.09182891249656677,0.8673661351203918,0.6004540324211121,1.0861248970031738,0.8536585365853658
test,含缺失,40,0.8195479512214661,0.07584879547357559,0.8264337778091431,0.7648487687110901,0.7499141097068787,0.65
test,无缺失,687,0.7618356943130493,0.07771755754947662,0.7686044573783875,0.7838115096092224,0.6141736507415771,0.653566229985444
test,极性判对,475,0.7829331159591675,0.08008761703968048,0.7898508310317993,0.718359649181366,0.4950666129589081,1.0
test,极性判错,252,0.7312292456626892,0.07295358180999756,0.7377358078956604,0.9041730761528015,0.8602271676063538,0.0
