id,missing_regions
附件3_01,[]
附件3_02,"[[""audio"", 9, 11], [""vision"", 9, 11]]"
附件3_03,"[[""vision"", 20, 22], [""vision"", 23, 27]]"
附件3_04,[]
附件3_05,[]
附件3_06,[]
附件3_07,[]
附件3_08,"[[""audio"", 9, 11], [""vision"", 9, 11]]"
附件3_09,"[[""audio"", 3, 5], [""vision"", 3, 5]]"
附件3_10,[]
附件3_11,"[[""audio"", 4, 6], [""vision"", 4, 6]]"
附件3_12,[]
附件3_13,[]
附件3_14,"[[""audio"", 21, 23], [""vision"", 21, 23]]"
附件3_15,[]
附件3_16,[]
附件3_17,"[[""audio"", 0, 4], [""vision"", 0, 4]]"
附件3_18,"[[""audio"", 2, 4], [""vision"", 2, 4]]"
附件3_19,"[[""audio"", 3, 5], [""audio"", 7, 9], [""vision"", 3, 5], [""vision"", 7, 9]]"
附件3_20,"[[""audio"", 8, 10], [""audio"", 38, 42], [""audio"", 43, 45], [""vision"", 8, 10], [""vision"", 38, 42], [""vision"", 43, 45]]"
附件3_21,[]
附件3_22,[]
附件3_23,"[[""audio"", 10, 13], [""vision"", 10, 13]]"
附件3_24,"[[""audio"", 0, 2], [""vision"", 0, 2]]"
附件3_25,"[[""audio"", 0, 2], [""vision"", 0, 2]]"
附件3_26,"[[""audio"", 0, 2], [""audio"", 15, 17], [""vision"", 0, 2], [""vision"", 15, 17]]"
附件3_27,"[[""audio"", 2, 5], [""vision"", 2, 5]]"
附件3_28,"[[""audio"", 6, 8], [""audio"", 10, 13], [""audio"", 21, 23], [""audio"", 26, 28], [""vision"", 6, 8], [""vision"", 10, 13], [""vision"", 21, 23], [""vision"", 26, 28]]"
附件3_29,"[[""audio"", 7, 11], [""vision"", 7, 11]]"
附件3_30,"[[""audio"", 0, 2], [""audio"", 7, 11], [""audio"", 20, 24], [""vision"", 0, 2], [""vision"", 7, 11], [""vision"", 20, 24]]"
