phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.5073389962867454,0.7745002508163452,0.687804991448367,0.6268355967821898,0.6096939107886067,1.098186448768333,0.2362688512161926,0.8298965129587386,0.033587479084316224,0.0033411094185861723,5.166611468350446,,,,,,,
teacher,2,2.069632434182697,0.6534034609794617,0.5561946085481732,0.5123590944265878,0.43835512824632505,0.9409839022490714,0.1388739856580893,0.7735999359024895,0.031162684403911785,0.002811008602967141,2.979312715707002,,,,,,,
teacher,3,1.8291506149150707,0.5925747156143188,0.4695283560841172,0.43812663797979,0.3140171608991093,0.8404114886566445,0.11522824137851044,0.7558753468372204,0.025423986009425588,0.0027352066589864314,1.1965265781791121,,,,,,,
teacher,4,1.6528505208315674,0.6186461448669434,0.4034266876125777,0.38169229472125016,0.21734394002015944,0.7567742571786598,0.10276144287652439,0.7417596479256948,0.025045631660355464,0.002697016552297605,0.5137004642574875,,,,,,,
teacher,5,1.5859687637399744,0.599772036075592,0.3815802705508691,0.3646575466350273,0.16922723627821715,0.728860530588362,0.09319320872977928,0.7322395929583797,0.02401144845687129,0.0026317163267069394,0.2893362511639242,,,,,,,
teacher,6,1.5366065855379458,0.6054738759994507,0.35748593591981465,0.3437348124053743,0.13751123755894326,0.7067336991981223,0.09593726832557607,0.7233385090474729,0.023156573513039836,0.0025248413612307223,0.1939722459625315,,,,,,,
teacher,7,1.4615221222241719,0.6009660363197327,0.34500894088436057,0.3327238007828041,0.12285139346150337,0.6559277259641223,0.08886593359488028,0.7162348970218941,0.021915030838162812,0.0024419470077932433,0.1423601695784816,,,,,,,
teacher,8,1.3846969118824712,0.6429905295372009,0.3174333528236107,0.3105286208015901,0.06904730831997262,0.6104501888707832,0.08868607299195395,0.710083853315424,0.021501206551437026,0.002422799192437971,0.11233855218247131,,,,,,,
teacher,9,1.3444580645472914,0.6141169667243958,0.30758442012248216,0.3026564112967915,0.04928008161692156,0.5896239374522809,0.08335204505258137,0.7027871917795252,0.02075465175288695,0.0023783975867209613,0.09375430119258386,,,,,,,
teacher,10,1.278045196224142,0.6432764530181885,0.28678727619074007,0.28575756235255134,0.010297132276550488,0.5458266485344481,0.0831062826845381,0.6993411956010042,0.02129924183504449,0.0023828696252571214,0.08133366731581865,,,,,,,
teacher,11,1.234261045853297,0.6253856420516968,0.2729571446500443,0.274553460655389,-0.0159631448590921,0.5228603482246399,0.07868254543454559,0.6940734838997876,0.021662889841806005,0.002343417503181155,0.07211131574930968,,,,,,,
teacher,12,1.1870283859747428,0.6259141564369202,0.2556962983475791,0.2608430529082263,-0.05146754305395815,0.49461230911590437,0.07835652265283796,0.6919348957361998,0.021146417974873825,0.0023218225903326164,0.06616707394520442,,,,,,,
teacher,13,1.134166975264196,0.6430103778839111,0.24382404458743553,0.2517674668105664,-0.07943422995783665,0.45305766399811814,0.07998309394827595,0.6902738798547674,0.020770839967385487,0.0023288521656973492,0.0615384747032766,,,,,,,
teacher,14,1.0918867444550548,0.6407937407493591,0.23173862999236142,0.24263823832626696,-0.10899609389404456,0.4288787262307273,0.07512052957382467,0.6876666247844696,0.021162857318779937,0.002313666502703671,0.0577268837088788,,,,,,,
teacher,15,1.0814610774870272,0.6342482566833496,0.22787373278428008,0.239363981893769,-0.1149024751416787,0.4255205522532816,0.07265476841065618,0.6865280082932225,0.02086815360450634,0.002323326534005227,0.05522848872674836,,,,,,,
student,1,2.5214026504092746,0.7856436967849731,0.6861016010796582,0.6249593976471159,0.6114220354292128,1.1033700307210286,0.25510452936093014,0.8112870940455684,0.031268296849534465,0.004178242098229627,5.345965924086394,0.0,0.1,0.0,,,,
student,2,2.2104365075076067,0.632754921913147,0.6081150577024177,0.5575111988517973,0.5060385796758864,1.0165588756402333,0.16539697762992647,0.7498424229798494,0.020661679406960804,0.003029262707396238,3.3598925669988,0.0,0.1,0.0,,,,
student,3,1.8676971108825118,0.621427595615387,0.4750652727153566,0.44183135253411754,0.33233918249607086,0.8536796304914687,0.14854467742972904,0.7302825782034132,0.019866787742271467,0.0028980720564033145,1.3883820672829945,0.0,0.1,0.0,,,,
student,4,1.7792748521875452,0.5872864127159119,0.4211751382659983,0.3952980331248707,0.2587710643808047,0.7970082351454982,0.13902518608503872,0.7181065943506029,0.020899121770290314,0.0028573635887975493,0.6301568354721423,0.0,0.1,0.3,0.1494440143858945,0.07536145920554797,0.07324068172386398,0.008418733866333409
student,5,1.7081416425881562,0.5955802798271179,0.4016119735660376,0.37900653177941285,0.2260544251098677,0.7709783690947073,0.1318335095765414,0.7063959262989186,0.01911131740996131,0.0026751745802660785,0.3293314578908461,0.0,0.1,0.28065209550948533,0.1294601673812226,0.06897682503417686,0.0596300832565046,0.00853258064604166
student,6,1.6097196649622034,0.5923150777816772,0.36518379549185437,0.34826563643636527,0.16918160121336026,0.7219749567685304,0.12594801808396974,0.6964715134214472,0.019849174224806053,0.0026714080487619395,0.2028074728118049,0.0,0.1,0.26255199571288423,0.1336450862387816,0.07254136126074526,0.06021042802819499,0.008932956865195322
