id,source,t_full,compr_mean,compr_text,compr_audio,compr_vision,suff_absmean,suff_text,suff_audio,suff_vision,sparsity_mean,del_auc_mean,ins_auc_mean
01,att,0.1442,-0.007,-0.027,0.0012,0.0047,0.037,-0.0813,0.0018,0.028,0.3991,0.146,0.1334
01,ig,0.1442,0.0116,0.0353,-0.0007,0.0002,0.014,0.0267,0.0015,0.014,0.4858,0.1423,0.1546
01,occ,0.1442,-0.0101,-0.0256,-0.0006,-0.0041,0.0118,0.0187,0.0006,0.0162,0.4909,0.1432,0.1621
01,fused,0.1442,-0.0101,-0.0256,-0.0006,-0.0041,0.0118,0.0187,0.0006,0.0162,0.4859,0.1432,0.1617
01,fused_equal,0.1442,0.0116,0.0351,-0.0004,0.0002,0.0167,0.0355,0.0007,0.014,0.4501,0.153,0.142
02,att,0.4062,-0.0013,-0.0077,0.0007,0.003,0.1415,-0.3651,0.0114,0.048,0.4569,0.4026,0.3411
02,ig,0.4062,-0.0024,-0.0065,-0.0001,-0.0006,0.074,-0.1714,0.0103,0.0404,0.4878,0.4033,0.3924
02,occ,0.4062,0.0191,0.0572,-0.0004,0.0005,0.0977,-0.2336,0.0108,0.0486,0.6009,0.398,0.3472
02,fused,0.4062,0.0156,0.047,-0.0004,0.0001,0.0983,-0.2371,0.0108,0.0471,0.5821,0.397,0.3472
02,fused_equal,0.4062,0.0121,0.0363,-0.0,0.0001,0.1255,-0.3184,0.0109,0.0471,0.4981,0.3935,0.3485
03,att,-0.2985,0.0102,0.0307,-0.0001,0.0001,0.165,0.484,0.0009,-0.01,0.2755,-0.3059,-0.2052
03,ig,-0.2985,0.0289,0.0843,-0.0004,0.0029,0.1482,0.4368,0.0007,-0.0071,0.3269,-0.3077,-0.2252
03,occ,-0.2985,0.0148,0.0452,0.0007,-0.0015,0.1829,0.5342,0.0005,-0.014,0.3652,-0.297,-0.2132
03,fused,-0.2985,0.0029,0.0088,0.0007,-0.0008,0.1866,0.5464,0.0005,-0.0129,0.3379,-0.3057,-0.2097
03,fused_equal,-0.2985,0.0131,0.0402,0.0002,-0.0011,0.1729,0.506,0.0012,-0.0116,0.3186,-0.3078,-0.2101
04,att,-0.4443,-0.0001,-0.0193,0.0052,0.0138,0.3924,0.8708,-0.048,-0.2583,0.2981,-0.4715,-0.3038
04,ig,-0.4443,0.0043,0.0096,0.001,0.0024,0.3288,0.7226,-0.0463,-0.2176,0.3418,-0.4118,-0.3789
04,occ,-0.4443,-0.0045,-0.0005,0.0007,-0.0137,0.3691,0.7636,-0.0506,-0.2932,0.4541,-0.4423,-0.3481
04,fused,-0.4443,-0.0045,-0.0005,0.0007,-0.0137,0.3684,0.7636,-0.0484,-0.2932,0.4306,-0.4435,-0.347
04,fused_equal,-0.4443,0.0136,0.0333,0.0038,0.0037,0.3766,0.8381,-0.0473,-0.2443,0.3495,-0.4417,-0.3363
05,att,0.6404,-0.0121,-0.0462,0.0003,0.0097,0.1305,-0.2372,0.0042,-0.1499,0.5274,0.6503,0.5356
05,ig,0.6404,0.0327,0.0948,-0.0004,0.0039,0.0334,0.0215,0.0027,-0.0761,0.6486,0.6287,0.6115
05,occ,0.6404,-0.0181,-0.043,-0.0002,-0.0111,0.0584,-0.0346,0.0018,-0.1389,0.547,0.6382,0.6056
05,fused,0.6404,-0.0182,-0.043,-0.0005,-0.0111,0.0587,-0.0346,0.0025,-0.1389,0.5629,0.6365,0.6082
05,fused_equal,0.6404,-0.0004,0.0103,-0.0004,-0.0111,0.0657,-0.0554,0.0027,-0.1389,0.563,0.6369,0.5983
06,att,0.8369,-0.0429,-0.1262,0.0002,-0.0027,0.2547,-0.6825,0.0052,0.0765,0.2512,0.858,0.7132
06,ig,0.8369,0.0057,0.0171,-0.0003,0.0004,0.2076,-0.5492,0.0051,0.0685,0.2826,0.8206,0.77
06,occ,0.8369,-0.0016,-0.0053,-0.0004,0.0009,0.1981,-0.5181,0.0051,0.071,0.3845,0.8358,0.7681
06,fused,0.8369,-0.0016,-0.0053,-0.0004,0.0009,0.1981,-0.5181,0.0051,0.071,0.3357,0.8387,0.7664
06,fused_equal,0.8369,0.0007,0.0012,-0.0003,0.0011,0.2201,-0.5856,0.0049,0.0698,0.2609,0.8447,0.7479
07,att,0.6441,-0.0032,-0.0092,-0.0001,-0.0003,0.1866,-0.5348,0.005,0.0199,0.2184,0.6529,0.5588
07,ig,0.6441,0.0008,0.0026,-0.0005,0.0003,0.1591,-0.4681,0.0048,0.0043,0.2419,0.6317,0.594
07,occ,0.6441,-0.0022,-0.0056,-0.0008,-0.0001,0.1651,-0.4821,0.0042,0.009,0.3452,0.6424,0.578
07,fused,0.6441,-0.0022,-0.0056,-0.0009,-0.0001,0.1652,-0.4821,0.0044,0.009,0.3007,0.6457,0.572
07,fused_equal,0.6441,0.0009,0.0041,-0.0007,-0.0008,0.1819,-0.534,0.0049,0.0069,0.2272,0.6436,0.5679
08,att,0.588,-0.0287,-0.0902,0.0017,0.0023,0.1743,-0.4694,0.006,0.0476,0.6945,0.5961,0.4954
08,ig,0.588,0.0462,0.1394,-0.0011,0.0001,0.0749,-0.1816,0.0056,0.0373,0.6143,0.5677,0.5382
08,occ,0.588,0.0148,0.0505,-0.0002,-0.0058,0.0819,-0.1935,0.004,0.0483,0.6231,0.5768,0.5439
08,fused,0.588,0.0291,0.0858,-0.0002,0.0019,0.0964,-0.2341,0.004,0.0509,0.6293,0.5806,0.5299
08,fused_equal,0.588,-0.0007,-0.0054,0.0014,0.0021,0.1209,-0.3109,0.0057,0.046,0.6464,0.5817,0.5158
09,att,-2.3557,-0.0107,-0.0343,0.0,0.0021,0.7249,2.124,-0.0204,0.0303,0.4367,-2.3408,-1.9127
09,ig,-2.3557,0.0066,0.0231,-0.0019,-0.0014,0.6714,1.9686,-0.0171,0.0284,0.4714,-2.3636,-1.9451
09,occ,-2.3557,-0.0169,-0.0471,-0.0011,-0.0023,0.6654,1.9462,-0.0183,0.0317,0.5017,-2.3384,-1.9808
09,fused,-2.3557,-0.0151,-0.0471,0.002,-0.0001,0.6642,1.9462,-0.0165,0.03,0.4858,-2.3401,-1.9745
09,fused_equal,-2.3557,-0.0045,-0.0142,0.0022,-0.0015,0.6856,2.0199,-0.0123,0.0246,0.471,-2.3475,-1.942
10,att,-1.2545,0.0011,0.0091,0.001,-0.0069,0.5203,1.4641,-0.0282,-0.0687,0.2707,-1.2505,-0.9419
10,ig,-1.2545,0.0117,0.031,0.0013,0.0026,0.5351,1.5065,-0.0264,-0.0724,0.2871,-1.2739,-0.9296
