id,score,prob_neg,prob_neu,prob_pos,main_modality,main_modality_relu,pi_text,pi_audio,pi_vision,phi_text,phi_audio,phi_vision,phi_text_padsem,phi_audio_padsem,phi_vision_padsem,miss_text,miss_audio,miss_vision
附件3_01,-0.3925,0.5146,0.365,0.1204,text,,0.4108,0.2832,0.306,-0.3841,-0.0122,-0.0898,-0.0029,0.2157,-0.6219,0.0,0.0,0.0
附件3_02,-0.1616,0.2774,0.581,0.1416,text,,0.3885,0.3005,0.3109,-0.2605,-0.0037,-0.0377,0.232,0.3606,-0.6528,0.0,0.069,0.069
附件3_03,0.2735,0.1409,0.5132,0.3459,text,text,0.3425,0.3247,0.3328,0.0567,-0.0033,-0.028,0.4967,0.2535,-0.7033,0.0,0.0,0.1818
附件3_04,0.5649,0.0914,0.3634,0.5453,text,text,0.4064,0.2979,0.2957,0.3345,0.0239,-0.0164,0.767,0.3415,-0.6428,0.0,0.0,0.0
附件3_05,-1.189,0.8774,0.0888,0.0339,text,,0.6231,0.1799,0.197,-1.2524,-0.0101,-0.1011,-0.5346,0.4565,-0.7735,0.0,0.0,0.0
附件3_06,0.7487,0.0553,0.298,0.6467,text,text,0.4225,0.2704,0.3071,0.4623,0.0161,0.1432,0.4932,0.1723,-0.2714,0.0,0.0,0.0
附件3_07,0.3156,0.1586,0.4543,0.3871,text,text,0.3735,0.3073,0.3192,0.2026,-0.0075,-0.0454,0.4534,0.1742,-0.7714,0.0,0.0,0.0
附件3_08,-0.1963,0.5247,0.2902,0.1851,text,vision,0.4181,0.2849,0.297,-0.3866,-0.0031,0.0445,0.1748,0.3513,-0.5124,0.0,0.125,0.125
附件3_09,1.1832,0.0255,0.1226,0.8519,text,text,0.5617,0.2141,0.2241,0.9718,0.0073,0.0531,1.132,0.1275,-0.4559,0.0,0.1333,0.1333
附件3_10,-0.0175,0.1393,0.6983,0.1624,vision,,0.3343,0.3263,0.3394,-0.04,-0.0159,-0.0552,0.2973,0.17,-0.4341,0.0,0.0,0.0
附件3_11,0.1944,0.1703,0.5252,0.3045,text,text,0.3433,0.3214,0.3353,0.0785,0.0125,-0.0549,0.4646,0.297,-0.6471,0.0,0.1429,0.1429
附件3_12,0.4684,0.1329,0.391,0.4761,vision,vision,0.3277,0.3012,0.3711,0.0906,-0.0062,0.215,0.3299,0.178,0.0674,0.0,0.0,0.0
附件3_13,0.1949,0.2209,0.4593,0.3198,vision,text,0.3314,0.3302,0.3383,0.0364,0.0327,-0.057,0.4674,0.3785,-0.7323,0.0,0.0,0.0
附件3_14,-0.6089,0.6387,0.2857,0.0756,text,vision,0.531,0.218,0.251,-0.8902,-0.0,0.1407,-0.0887,0.6232,-0.0237,0.0,0.0833,0.0833
附件3_15,0.7236,0.0559,0.3024,0.6417,text,text,0.4316,0.2687,0.2997,0.4784,0.0046,0.1136,0.5508,0.1508,-0.3525,0.0,0.0,0.0
附件3_16,1.5254,0.039,0.0514,0.9096,text,text,0.6396,0.18,0.1804,1.2713,-0.0036,-0.0054,1.7966,0.0787,-0.8264,0.0,0.0,0.0
附件3_17,-0.7495,0.6802,0.2631,0.0567,text,audio,0.5501,0.2251,0.2249,-0.9028,0.009,-0.0083,-0.3639,0.4287,-0.6663,0.0,0.1739,0.1739
附件3_18,0.4101,0.1143,0.4614,0.4243,text,text,0.3635,0.3085,0.328,0.1691,0.0052,0.0663,0.4264,0.2257,-0.4022,0.0,0.1111,0.1111
附件3_19,-0.4029,0.5399,0.3505,0.1096,text,vision,0.47,0.2569,0.2731,-0.6135,0.0094,0.0705,-0.0088,0.4872,-0.3646,0.0,0.16,0.16
附件3_20,0.2593,0.1653,0.4761,0.3587,text,text,0.3701,0.3042,0.3257,0.1986,-0.0025,-0.0708,0.6659,0.3358,-0.7916,0.0,0.1667,0.1667
附件3_21,0.56,0.0578,0.4091,0.5332,text,text,0.4249,0.2863,0.2888,0.4038,-0.0091,-0.018,0.6185,0.1333,-0.4441,0.0,0.0,0.0
附件3_22,0.3423,0.1613,0.4352,0.4034,text,text,0.377,0.305,0.318,0.2146,0.0026,-0.0443,0.5784,0.2499,-0.7016,0.0,0.0,0.0
附件3_23,0.354,0.0768,0.5534,0.3698,text,text,0.3717,0.3122,0.3161,0.1798,-0.0054,0.0179,0.3953,0.1884,-0.4292,0.0,0.2143,0.2143
附件3_24,0.1237,0.2174,0.5082,0.2744,text,audio,0.3425,0.3299,0.3276,-0.0462,0.0086,-0.0017,0.2664,0.2098,-0.4163,0.0,0.2222,0.2222
附件3_25,0.2125,0.16,0.5457,0.2943,vision,vision,0.3382,0.3172,0.3446,-0.0747,0.0106,0.0933,0.0764,0.1617,-0.2422,0.0,0.2,0.2
附件3_26,0.8449,0.0787,0.209,0.7123,text,text,0.4992,0.2495,0.2513,0.6956,0.002,-0.009,1.0396,0.2137,-0.6406,0.0,0.1818,0.1818
附件3_27,0.6963,0.0561,0.3253,0.6186,text,text,0.46,0.2697,0.2702,0.5399,-0.0061,-0.0079,0.8326,0.1843,-0.6152,0.0,0.15,0.15
附件3_28,0.4759,0.0638,0.4816,0.4546,text,text,0.3688,0.3096,0.3216,0.1752,0.0001,0.0382,0.5055,0.1961,-0.5539,0.0,0.2647,0.2647
附件3_29,0.5973,0.086,0.3471,0.5669,text,text,0.4382,0.2718,0.29,0.4787,-0.0011,-0.0661,0.981,0.2764,-0.6969,0.0,0.2353,0.2353
附件3_30,0.0031,0.2428,0.549,0.2082,text,vision,0.3747,0.3013,0.324,-0.2357,0.0176,0.0904,0.0895,0.3413,-0.3477,0.0,0.4,0.4
