id,missing_regions
vid000$_$clip000,"[[""audio"", 19, 36], [""vision"", 25, 42]]"
vid000$_$clip001,"[[""text"", 8, 25], [""audio"", 11, 28], [""vision"", 30, 47]]"
vid000$_$clip002,"[[""text"", 28, 45], [""audio"", 23, 40]]"
vid000$_$clip003,"[[""text"", 13, 30], [""audio"", 26, 43], [""vision"", 17, 34]]"
vid000$_$clip004,"[[""text"", 27, 44], [""audio"", 18, 35], [""vision"", 20, 37]]"
vid001$_$clip005,"[[""text"", 18, 35], [""audio"", 16, 33], [""vision"", 23, 40]]"
vid001$_$clip006,"[[""text"", 30, 47], [""audio"", 21, 38], [""vision"", 12, 29]]"
vid001$_$clip007,"[[""audio"", 2, 19]]"
vid001$_$clip008,"[[""text"", 16, 33], [""audio"", 5, 22], [""vision"", 6, 23]]"
vid001$_$clip009,"[[""text"", 22, 39], [""vision"", 3, 20]]"
vid002$_$clip010,"[[""text"", 22, 39], [""audio"", 27, 44], [""vision"", 3, 20]]"
vid002$_$clip011,"[[""audio"", 27, 44], [""vision"", 24, 41]]"
vid002$_$clip012,"[[""text"", 25, 42], [""vision"", 11, 28]]"
vid002$_$clip013,"[[""text"", 14, 31], [""audio"", 16, 33], [""vision"", 26, 43]]"
vid002$_$clip014,"[[""text"", 25, 42], [""audio"", 3, 20]]"
vid003$_$clip015,"[[""text"", 25, 42], [""audio"", 1, 18], [""vision"", 25, 42]]"
vid003$_$clip016,"[[""text"", 8, 25], [""audio"", 31, 48], [""vision"", 29, 46]]"
vid003$_$clip017,"[[""audio"", 5, 22], [""vision"", 11, 28]]"
vid003$_$clip018,"[[""text"", 0, 17], [""audio"", 22, 39], [""vision"", 9, 26]]"
vid003$_$clip019,"[[""text"", 24, 41], [""audio"", 7, 24], [""vision"", 14, 31]]"
vid004$_$clip020,"[[""text"", 7, 24], [""audio"", 19, 36], [""vision"", 27, 44]]"
vid004$_$clip021,"[[""text"", 30, 47], [""audio"", 22, 39], [""vision"", 11, 28]]"
vid004$_$clip022,"[[""vision"", 32, 49]]"
vid004$_$clip023,"[[""audio"", 15, 32], [""vision"", 4, 21]]"
vid004$_$clip024,"[[""text"", 19, 36], [""vision"", 18, 35]]"
vid005$_$clip025,"[[""audio"", 21, 38], [""vision"", 22, 39]]"
vid005$_$clip026,"[[""text"", 15, 32], [""audio"", 2, 19], [""vision"", 30, 47]]"
vid005$_$clip027,"[[""vision"", 2, 19]]"
vid005$_$clip028,"[[""audio"", 15, 32], [""vision"", 8, 25]]"
vid005$_$clip029,"[[""text"", 1, 18], [""audio"", 14, 31]]"
vid006$_$clip030,"[[""text"", 13, 30]]"
vid006$_$clip031,"[[""text"", 24, 41], [""audio"", 6, 23], [""vision"", 27, 44]]"
vid006$_$clip032,"[[""text"", 18, 35], [""audio"", 14, 31], [""vision"", 11, 28]]"
vid006$_$clip033,"[[""text"", 2, 19], [""audio"", 5, 22], [""vision"", 3, 20]]"
vid006$_$clip034,"[[""text"", 0, 17], [""vision"", 20, 37]]"
vid007$_$clip035,"[[""audio"", 8, 25], [""vision"", 20, 37]]"
vid007$_$clip036,"[[""text"", 28, 45], [""audio"", 7, 24], [""vision"", 27, 44]]"
vid007$_$clip037,"[[""text"", 6, 23], [""audio"", 21, 38]]"
vid007$_$clip038,"[[""text"", 32, 49], [""audio"", 3, 20], [""vision"", 17, 34]]"
vid007$_$clip039,"[[""audio"", 12, 29], [""vision"", 17, 34]]"
vid008$_$clip040,"[[""text"", 1, 18], [""audio"", 13, 30], [""vision"", 32, 49]]"
vid008$_$clip041,"[[""text"", 5, 22], [""audio"", 24, 41], [""vision"", 30, 47]]"
vid008$_$clip042,"[[""text"", 21, 38], [""vision"", 22, 39]]"
vid008$_$clip043,"[[""text"", 28, 45], [""audio"", 14, 31], [""vision"", 2, 19]]"
vid008$_$clip044,"[[""audio"", 29, 46], [""vision"", 29, 46]]"
vid009$_$clip045,"[[""text"", 30, 47], [""audio"", 17, 34], [""vision"", 10, 27]]"
vid009$_$clip046,"[[""text"", 16, 33], [""audio"", 27, 44], [""vision"", 3, 20]]"
vid009$_$clip047,"[[""text"", 29, 46], [""audio"", 20, 37], [""vision"", 4, 21]]"
vid009$_$clip048,"[[""text"", 4, 21], [""audio"", 3, 20], [""vision"", 12, 29]]"
vid009$_$clip049,"[[""text"", 30, 47], [""audio"", 12, 29]]"
vid010$_$clip050,"[[""text"", 13, 30], [""audio"", 4, 21], [""vision"", 17, 34]]"
vid010$_$clip051,"[[""text"", 27, 44], [""audio"", 16, 33], [""vision"", 6, 23]]"
vid010$_$clip052,"[[""text"", 17, 34], [""audio"", 8, 25], [""vision"", 29, 46]]"
vid010$_$clip053,"[[""text"", 14, 31], [""audio"", 16, 33], [""vision"", 4, 21]]"
vid010$_$clip054,"[[""audio"", 3, 20], [""vision"", 26, 43]]"
vid011$_$clip055,"[[""text"", 27, 44], [""audio"", 16, 33], [""vision"", 5, 22]]"
vid011$_$clip056,"[[""text"", 31, 48], [""audio"", 24, 41], [""vision"", 21, 38]]"
vid011$_$clip057,"[[""text"", 10, 27], [""audio"", 6, 23], [""vision"", 20, 37]]"
vid011$_$clip058,"[[""text"", 18, 35], [""audio"", 30, 47], [""vision"", 19, 36]]"
vid011$_$clip059,"[[""text"", 26, 43], [""vision"", 31, 48]]"
vid012$_$clip060,"[[""text"", 9, 26], [""vision"", 14, 31]]"
vid012$_$clip061,"[[""text"", 32, 49], [""audio"", 21, 38], [""vision"", 13, 30]]"
vid012$_$clip062,"[[""text"", 29, 46], [""audio"", 21, 38], [""vision"", 12, 29]]"
vid012$_$clip063,"[[""text"", 15, 32], [""audio"", 5, 22], [""vision"", 16, 33]]"
vid012$_$clip064,"[[""text"", 7, 24], [""audio"", 28, 45], [""vision"", 19, 36]]"
vid013$_$clip065,"[[""text"", 32, 49], [""vision"", 25, 42]]"
vid013$_$clip066,"[[""text"", 25, 42], [""audio"", 32, 49], [""vision"", 8, 25]]"
vid013$_$clip067,"[[""text"", 14, 31], [""audio"", 26, 43], [""vision"", 16, 33]]"
vid013$_$clip068,"[[""text"", 13, 30], [""audio"", 26, 43], [""vision"", 4, 21]]"
vid013$_$clip069,"[[""audio"", 13, 30], [""vision"", 24, 41]]"
vid014$_$clip070,"[[""audio"", 14, 31]]"
vid014$_$clip071,"[[""text"", 6, 23], [""audio"", 30, 47]]"
vid014$_$clip072,"[[""vision"", 14, 31]]"
vid014$_$clip073,"[[""text"", 17, 34], [""audio"", 26, 43], [""vision"", 14, 31]]"
vid014$_$clip074,"[[""text"", 6, 23], [""audio"", 7, 24], [""vision"", 29, 46]]"
vid015$_$clip075,"[[""text"", 13, 30], [""audio"", 29, 46], [""vision"", 1, 18]]"
vid015$_$clip076,"[[""text"", 3, 20], [""audio"", 11, 28], [""vision"", 1, 18]]"
vid015$_$clip077,"[[""audio"", 21, 38], [""vision"", 31, 48]]"
vid015$_$clip078,"[[""text"", 4, 21], [""vision"", 13, 30]]"
vid015$_$clip079,"[[""text"", 5, 22], [""audio"", 5, 22], [""vision"", 5, 22]]"
vid016$_$clip080,"[[""text"", 8, 25], [""audio"", 14, 31], [""vision"", 17, 34]]"
vid016$_$clip081,"[[""text"", 27, 44], [""audio"", 21, 38]]"
vid016$_$clip082,"[[""text"", 19, 36], [""audio"", 28, 45], [""vision"", 28, 45]]"
vid016$_$clip083,"[[""text"", 5, 22], [""audio"", 12, 29]]"
vid016$_$clip084,"[[""text"", 0, 17], [""audio"", 2, 19], [""vision"", 26, 43]]"
vid017$_$clip085,"[[""text"", 5, 22], [""audio"", 0, 17], [""vision"", 1, 18]]"
vid017$_$clip086,"[[""text"", 7, 24], [""audio"", 10, 27], [""vision"", 12, 29]]"
vid017$_$clip087,"[[""audio"", 29, 46]]"
vid017$_$clip088,"[[""text"", 31, 48], [""audio"", 10, 27]]"
vid017$_$clip089,"[[""text"", 8, 25], [""audio"", 13, 30], [""vision"", 14, 31]]"
vid018$_$clip090,"[[""text"", 9, 26]]"
vid018$_$clip091,"[[""text"", 0, 17], [""audio"", 32, 49], [""vision"", 0, 17]]"
vid018$_$clip092,"[[""text"", 19, 36], [""vision"", 21, 38]]"
vid018$_$clip093,"[[""text"", 20, 37], [""audio"", 21, 38], [""vision"", 15, 32]]"
vid018$_$clip094,"[[""text"", 13, 30], [""vision"", 30, 47]]"
vid019$_$clip095,"[[""text"", 7, 24], [""audio"", 5, 22], [""vision"", 11, 28]]"
vid019$_$clip096,"[[""text"", 26, 43], [""audio"", 17, 34]]"
vid019$_$clip097,"[[""text"", 11, 28], [""vision"", 29, 46]]"
vid019$_$clip098,"[[""text"", 14, 31], [""audio"", 11, 28], [""vision"", 14, 31]]"
