group,path,desc,exists,size_mb,files
【必需】赛题与方案,e:\数学建模\复杂场景下多模态情感识别的数学建模与算法设计.docx,赛题原文,True,0.96,1
【必需】赛题与方案,e:\数学建模\赛事文件.txt,赛题纯文本,True,0.02,1
【必需】赛题与方案,e:\数学建模\解决方案,6 份方案文档,True,0.08,7
【必需】代码,e:\数学建模\code,全部脚本（含 02_model/）,True,0.34,110
【必需】数据,e:\数学建模\附件2,附件2（含 aligned/unaligned/label.xlsx）,True,3711.0,3
【必需】数据,e:\数学建模\附件3-模态缺失特征样本,附件3（对齐/未对齐）,True,15.61,60
【必需】数据,e:\数学建模\附件4-可解释专项视频样本与特征文件,附件4（含 videos/）,True,63.46,80
【必需】中间产物,e:\数学建模\data_att,附件3/4 的文本特征（已用 BERT 补齐）,True,8.37,2
【必需】中间产物,e:\数学建模\runs,checkpoint / metrics / sweep / 日志,True,83.86,42
【必需】中间产物,e:\数学建模\submission,预测结果 CSV,True,0.04,10
【必需】中间产物,e:\数学建模\figs,论文图,True,0.58,11
【必需】中间产物,e:\数学建模\paper_tables,论文表格,True,0.01,4
【可选】模型缓存,E:\hf_cache,bert-base-uncased 权重（也可在新机器重新下载）,True,420.72,11
【可删】临时,e:\数学建模\data_dummy,合成数据（可由 make_dummy_data.py 重建）,True,107.83,2
【可删】临时,e:\数学建模\.vscode,VS Code 任务配置（含中文路径 label）,True,0.01,1
